I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
... 30 hectares of field,	An estate of x hectares of field according to the seah of 10 'litres' ... 
The gods Ninurta and Nergal, who love my priesthood, gave to me the wild beasts and commanded me to hunt. I killed from my ... chariot 373 wild bulls (and) 399 lions with my valorous assault. 'I drove twenty-nine elephants into ambush.	The gods Ninurta and Nergal, who love my priesthood, gave to me the wild beasts and commanded me to hunt. 300 lions ... with my fierce valor ... six strong wild virile bulls with horns ... from my ... chariot and on my swift feet, in my second regnal year, ... with my sharp arrows I ... The remainder of the numerous animals and the winged birds of the sky, wild game which I acquired, their names are not written with these animals, their numbers are not written with these numbers,
Month Iyyar (II), (eponym year of) Gir-Ṣapunu.	Month Iyyar (II), 26(th) day, eponym year of Bel-na'id.
... It has a 'station.' The 'path' ... 	There is a hole in the top of the 'station.' The 'path' has a bifurcation towards the right... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands the cultivated field will not prosper.	If the moon is surrounded by a halo and Mars stands in it: destruction of cattle and wild animals; the kor-measure will decrease; date plantations will not prosper; the Westland will become small.
... not ... anything to Bit-... 	If the royal deputy whom I have appointed over you ... anything in ... 
The king should ask why ... 	Nabû-ušabši, the haruspex, has incited the ... , the palace supervisor, and the magnates against me. I have sent ... a letter about it to the king, my lord. The king should summon him and have him brought in. He must not conceal ... 
... of Bel-Harran-belu-uṣur	Sin-... , son of Bel-Harran-ilê, ... 
I would have seen ... 	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks (and) date palm(s) placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
... citizens of Babylon,	... to a citizen of Babylon
... Belet-šamê, a bolt of lapis lazuli	Into a bowl of lapis lazuli, into a bowl of lapis lazuli, her tears flow. Refrain.
... , ditto, the front red;	... ditto, ditto, the front red, of the port; 4 ... ;
... so there is no fear ... 	As to ... about which the king my lord wrote to me, what else  should we do? There is no danger ... 
Aššur, Šamaš, and Marduk have granted to the king my lord a stable throne forever, for long days.	May Aššur, Šamaš, Nabû, and Marduk grant to the king my lord day after day, month after month, year after year happiness, health, joy and rejoicing, (and) a stable throne forever, for long days and many years!
Say to NN: thus says the king:	Say to Sin-iddina: thus says the king. I am well, you can be glad.
... they are building ... 	... the king ... a bodyguard
Gada', royal bodyguard;	Remanni-Adad, royal bodyguard;
... 2 brick-courses laid	... 1 brick-course remaining, they shall glaze the bricks.
... The 'weapon'-mark of the 'increment' is elevated to the left ... 	The 'weapon'-mark of the 'increment' rises toward the left. The upper part is elevated. The base of the middle part is 'loose.' The breast-bone is thick. The coils of the colon are 16 in number... 
... tubes, 6 ... ,	... tables, ... , one litre of vegetables ... , one litre of ... s, one litre of pears, x (loaves of) huhhurtu-bread, five cuts of mutton, one-fifth of ... meat of fish and birds, candy, fruit. 
he shall pay double the silver.	Whoever in the future, at any time, seeks a lawsuit or litigation against Aššur-šallim-ahhe, shall pay one mina of silver.
Witness Nusku-iddina.	Witness Mannu-ki-metina. Witness Ahu-iddina.
I have ... the ... s of Ṣil-Bel, sealed them, ... and am sending  them to the king, my lord... 	As to the gate of the bathroom of the big hilānu palace of which the king, my lord, wrote to me, I have just got hold of the ... and am herewith sending them to the king, my lord. 
When they came ... , we inflicted a defeat on them.	In this same eponymy, on that campaign of mine on which I brought back in my presence Nūr-Adad, the Temannu, together with his extensive troops as captives, I brought him to my land (and) into Nineveh. I mustered chariotry (and) troops (and) marched over difficult roads and rugged mountains which were unsuitable for the passage of my chariotry (and) troops, into which none of the kings my fathers had penetrated and wherein no winged bird of the sky flew — (I marched) to the cities Sikkur (and) Sappānu which since the time of Tukultī-Ninurta (I), king of Assyria, (85) son of Shalmaneser (I) (who was) also king of Assyria, a prince who preceded me, had withheld tax (and) tribute from Aššur, my lord. I surrounded the cities Sikkur (and) Sappānu (and) fought with them. I inflicted a major defeat upon them. I brought forth their booty, possessions, property, herds, (and) flocks (and) brought (them) to my city Aššur. I conquered all the cities in the district of the cities Sikkur (and) Sappānu. The remainder of their (inhabitants, who) had fled before my strong weapons, came down (and) submitted to me. I received from them tribute (and) imposed upon them stringent taxes and dues.
Total, (in) the King's village, near the town of Dimmeti, in Kipani.	4,000 stalks of vine, ... Total, (in) the village of ... , in Kipani.
Witness Dagan-milki.	Witness Mannu-ki-Ninua.
3 towers, the beams fixed	3/4 of the gateway; 5 towers, the loose beams fixed; 1 gutter, not completed,
At that time the ... of the city Taidu had become dilapidated and I removed its debris. I restored it. I rebuilt (it) from top to bottom and deposited my monumental inscriptions.	... that house ... all ... the goddess Šerua ... which he/they donated and (re)built their ... had become dilapidated. I removed their ruined portions. I (re)built them from top to bottom (and) restored them. I deposited my monumental inscription.
There is a hole in the right of the 'pouch.'	There is a hole in the top of the 'station.' The 'path' has a bifurcation towards the right... 
I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom the god Sîn nominated in distant days, while (he was) in the womb of his mother, for shepherding Assyria and (the one for whom) the gods Šamaš (and) Adad declared the exercising of its kingship through their firm decision(s) —	I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom (the god) Aššur and the god Sîn — the lord of the (lunar) crown — nominated in distant days to be king (i 5) and created in the womb of his mother for shepherding Assyria, (and the one for whom) the deities Šamaš, Adad, and Ištar declared my exercising the kingship through their firm decision(s) —
If he does not give, it shall increase by the same amount.	(If) he does not pay, it shall increase by 5 seahs per homer.
Witness Nabû-sagib.	Witness Nabû-zeru-... 
in all, 9: the 'residences' of the Huhamaeans.	in all, x: the 'residences' beneath the Window.
Remnants ... 	4 minas ... ;
Concerning the raven about which the king, my lord, wrote to me, (here are the relevant omens):	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
This omen is a lie; the king my lord should not pay attention to it.	Concerning the chills about which the king, my lord, wrote to me, there is nothing to be worried about. The gods of the king will quickly cure it, and we shall do whatever is relevant to the matter. It is a seasonal illness; the king, my lord, should not worry (about it).
Witness Dari-Bel. Witness Ṭabî, baker.	Witness Hari-ahhe. Witness Kidinni-Marduk.
Month of Iyyar (II), 10th day, eponym year of Sargon (719 B.C.)... 	Month of Shebat (XI), 1st day, eponym year of Belšunu, governor of Hindana (648 B.C.).
... the horses ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Witness Dunusu. Witness NN.	Witness Ikkaru. Witness Nabû-le'i.
of these men ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
To the king, my lord: your servant Ašipâ. Good health to the  king, my lord! May Nabû (and) Marduk bless the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
If you do what is good to me,	Enuma Eliš, which is recited and sung before Bel in Nisan concerns his imprisonment. He says prayers and makes supplications to them, pleading (his case) before Šamaš: "I only did what was good to Aššur! I waged battle by the order of Aššur, so what is my crime?"
If the upper part and the lower part are in equilibrium: strife. Lovers will be estranged.	... If the upper and the lower part are in equilibrium: strife. Lovers will be estranged... 
If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
Witness Danqu-dibbi-Issar, ditto.	Witness Inurta-kibsi-uṣur, ditto.
adjoining the garden of Šumma-ilani,	A vacant lot adjoining Nurtî, a garden, an estate of 1 hectare 6 decares of land in the town of Bit-Dagan, adjoining the garden of Arbailayu, (the estate of) Qurdi-Issar, the canal of Adian, and (the estate) of Bel-taklak —
Witness NN. Witness Nargî.	Witness Ikkaru. Witness Nabû-le'i.
The 22nd: good for undertaking an enterprise;	The favourable days about which the king, my lord, spoke are: the 10th, the 15th, the 16th, the 18th, the 20th, the 22nd, the 24th and the 26th, altogether 8 days of the month Iyyar (II) which are good for undertaking an enterprise and revering the gods.
If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land; the son will speak the truth with his father; universal peace.	If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land, and the son will speak the truth with his father. —  On the 14th day one god will be seen with the other.
x male goats, 30 female goats, 	30 rams, 250 bearing ewes, 200 1-year-old (lambs), 3 male goats, 10 bearing female goats, 7 1-year-old (kids). Total 480 white sheep, 20 goats.
You wrote ... 	shall put his enemies under his foot ... 
The exorcists who go in front of him reciting an incantation, are his people; they go wailing in front of him. 	The exorcists, who go in front of him reciting an incantation, are his people; they go wailing in front of him. 
Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people and made light shine forth for them; to whom the <great> gods gave as a gift (the ability) to create, build, (and) renew; the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.	Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people (and) made light shine forth for them; to whom the great gods gave as a gift (the ability) to create, build, (and) renew; (5) the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.
... with you ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Now then I’m writing to the king, my lord: 	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Nergal-duri.	Witness Nabû-deni-amur.
He shall enjoy it for three crop years and 3 fallow years, in all 6 years.	He shall enjoy the field for 3 crop years and 3 fallow years, in all 6 years.
Go up and ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... s 1 seah 1 litre of oil. Total 5 seahs 5 litres of honey	... they give. Total: 1 seah 7 litres of honey, 1 seah 7 litres of ... divided with dippers ... 
... , his wife, his 2 sons, his daughter ... 	Ṣalmu-šarri-iqbi paid ... silver, his debt, to the merchant, and redeemed Mannu-ki-Inurta, Arbail-šarrat, his wife, and his daughter,
... ; adjoining the king's road from Kubanaše to Aridi;	... of Naṣibina; adjoining the king's road that goes from Urakka to the bank of the ... river;
I placed crossbeams on tall cedar columns (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black (and) blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch (and) a vault like a rainbow. I embedded nails of pure silver and shining bronze in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord,  (the deeds) that I had accomplished in enemy lands.	I placed crossbeams on large copper columns (and) tall cedar columns, (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black and blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch and a vault like a rainbow. I embedded nails of silver, gold, and shining copper in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord, (and) the deeds that I had accomplished in enemy lands. 
... Raḫiānu (Rezin) ... 	Mitinti of the land Ashkelon neglected the loyalty oath (sworn by) the great gods (... and) revolted against me. He (Mitinti) saw the defeat of Raḫiānu (Rezin) and became afraid, ... (15') He was stricken with panic ... Rūkibtu, the son of ... , ascended his throne.
on foot ... 	Witness Ubru-Issar, servant of ... 
A tablet of Aššur-nirka-da''in to my brother Nabû-nammir. The  best of health to my brother!	A tablet of Šamaš-šumu-ukin to the king, my brother: The best of health to my brother! May Bel, Beltiya, Nabû, Tašmetu and Nanaya bless my brother. 
This 5th day of Kanun (X) belongs to Talmusu. Nothing has been brought; no one came. Nevertheless for the sake of the life of the king, my lord, I have performed and presented every sacrifice before Aššur and the gods of the king, my lord.	This 5th day of Kanun (X) belongs to Talmusu. No oxen, no rams — nothing whatever has been brought. For the sake of the life of the king, my lord, his name, and his progeny, I have carried out the sacrifices before Aššur and the gods of the king, my lord. I have prepared the entire meal to perfection and brought it into the presence of Aššur.
If ... , I shall go to ... 	As to what the king, my lord, said about Nabû-zeru-iddina: "When he ... before ... servants ... , he said to them ... 
In the base of the middle surface of the 'finger' there is a 'weapon'-mark facing the base of the 'finger.' The 'weapon'-mark of the 'increment' rises toward the left. The upper part ... 	In the base of the middle surface of the 'finger' there is a 'weapon'-mark ... The 'weapon'-mark of the 'increment' rises towards the left. The upper part is elevated. The base of the middle part is 'loose.'             
                                  Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 	Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant, (or that) he has changed (or) altered the proceedings... 
... return the temple slave	This was the sign of kingship: (If a planet comes close to a planet), the son of the king who lives in a city on my border will make a rebellion against his father, but will not seize the throne; a son of nobody will come out and seize the throne; he will restore the temples and establish sacrifices of the gods; he will provide jointly for (all) the temples.
... Nergal-abu-... 	... Nabû-aplu-... , his servant
Witness ... didi.	Witness Nabû-... 
a flask of mēzu-wine; a flask of lā'u-wine.	A flask of mēzu-wine; a flask of lā'u-wine.
... writing board of the temple of the god Sîn of the city Ḫarrān.	For the deities Sîn, Ningal, Nusku and Sadarnunna, my lords, I built Eḫulḫul, the temple of the god Sîn that is inside the city Ḫarrān.
In  the  top  of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             	The base of the 'station' is protruding pointedly. In the top of the left surface of the 'finger' there is a 'weapon'-mark which faces the top of the 'finger.'
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, or has touched the (libation) beer, the maṣhatu flour, the water, the pot, or the fire... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, has eaten, drunk, (or) anointed himself with anything unclean, (or) has altered or changed the (ritual) proceedings... 
Witness Ša-la-mašê, mayor.	Witness Sasî, mayor of ... 
Month ... , 11th day, eponym year of Adad-šarru-uṣur, governor of Marqasi.	Month Sivan (III), 2nd day, eponym year of Nabû-kenu-uṣur, governor of Samaria.
10 good ... s, ... s ... 	He will not ... but ... his ... , shares and ... s, which he ... , to the  high-ranking officers who are missing from there 
These fields, buildings and people Tiglath-Pileser (III), king of Assyria, exempted (from taxes) and gave to NN.	These fields, orchards and people Adad-nerari (III), king of Assyria, exempted (from taxes) and gave to NN, his eunuch as a grant.
If the moon is surrounded by a halo, and Regulus stands in it: pregnant women will give birth to male children.	If the moon is surrounded by a halo and Mars stands in it: destruction of cattle and wild animals; the kor-measure will decrease; date plantations will not prosper; the Westland will become small.
Witness ... uni.	Witness NN, ... 
NN, his servant, Zakiru —	Concerning the field and the seed and stored grain of the Kushites  and Egyptians about which the king wrote to me, his servant, saying: "Why do you take grain rations of the Kushites?" —
Witness Tariba-Issar, cook.	Witness Ubru-Issar, servant of ... 
Whoever in the future, and at any time, whether Nabû-malik and Šumma-ilu, or their sons, grandsons and brothers, or their prefect and the mayor of their city,	Whoever in the future, and at any time, whether these men or their  sons (or) their grandsons or any relative of theirs or their ... s or their  labour-duty superior, seeks a lawsuit or litigation against NN and his sons,
The kallāpu messenger ... 	The messenger of the king, my lord is in the presence of  Inurta-ila'i ... 
May Aššur, Bel, Nabû and Šamaš bless the king, my lord! May they give life of distant days, old age and fullness of life to the king, my lord!	To the king of the lands, my lord: your servant Bel-ušezib. May Bel, Nabû and Šamaš bless the king, my lord! May they make ... pass before the king, my lord.
the troops of Assurbanipal, king of Assyria,	Seal of Ashurbanipal, king of the world, king of Assyria, son of Esarhaddon, king of Assyria, son of Sennacherib, (who was) also king of Assyria. 
x sheep, served hot;	20 turtledoves, served hot;
The poplar is his body.	Myrhh is his semen. The cat is his blood... 
Month Nisan (I), eponym year of Iddin-ahhe of Ṣimirra.	Month Nisan (I), eponym year of Iddin-ahhe, governor of Dur-Šarruken.
An extispicy was made concerning Bel-labria: “... ” 	As for the ox and sheep offerings (sacrificed) on the brazier of the House of Aššur with the sheep offerings of Shebat (XI) and Adar (XII), to offer them with the sheep offerings is unfavourable. They shall be offered with the evening sacrifice offered with the cooked meat. An extispicy was made concerning the brazier of the God and it was favourable. 
On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, (iv 20) Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — I had my camp pitched at the foot of Mount Nipur. 	On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — (iii 5'') I had my camp pitched at the foot of Mount Nipur. 
... Partakanu;	x+1, ... rarani;
Witness NN, weaver.	Witness NN, chariot driver.
... goldsmiths	Witness Abi-yasubu, son of Samunu-iatuni, goldsmith.
By the mouth of the woman Ilussa-amur of the Inner City.	By the mouth of the woman Issar-beli-da''ini, a votaress of the king.
If the moon becomes visible in Adar (XII) on the 30th day: there will be an eclipse of the sun.	In Ab (V) on the 30th day the moon will become visible. If the moon becomes visible in Ab (V) on the 30th day: dispersal of Akkad.
and the rest ... 	... ditto, ditto, the front red, of the port; 4 ... ;
Just as this waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!	Just as (this) waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!
... with the favours	For ever present me with the bursag offerings, pure ... , ... which the irascible god ... by  (his) exalted command established to give vigour to those endowed with life.
x minas, of Se'-ma'adi;	x minas of red wool, 5 minas of black wool from within the Palace.
Tamluti, NN, NN,	The woman Beltu-uṣur, NN, NN,
(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, the lapis lazuli mountain, (and) upon the soil of whose land none of the kings, my ancestors, had walked —  I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, (i' 10') who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, (and) Bactrian camels, their heavy plunder. 	The one who crushed the Barnaki, a dangerous enemy, who live in the city Tīl-Ašurri, which is called Pitānu in the language of the people of the land Miḫrānu; (30) the one who scattered the Mannean people, undisciplined Gutians — (as for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, (and) upon the soil of whose land none of the kings, my ancestors, had walked, I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, who were not submissive to (my) yoke, together with their people (and) their heavy plunder.
For the god Enlil, (... ) his lord: Ashurbanipal, king of the world, king of Assyria, (... ) king of the four quarters (of the world), had (this) (... ) built for the sake of his life.	I, Šamaš-šuma-ukīn, mighty king, king of Babylon, king of the land of Sumer and Akkad, august vice-regent, true shepherd, who reveres the lord of lords; the one during whose reign the Enlil of the gods, the god Marduk, had pity, entered Babylon amidst rejoicing, and took up his residence in Esagil forevermore; who (re)confirmed the regular offerings (in) Esagil (for) the gods of the land of Sumer and Akkad; son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, (and) king of the land of Sumer and Akkad; grandson of Sennacherib, king of Assyria; descendant of Sargon (II), king of Assyria (and) king of the land of Sumer and Akkad; favorite (brother) of Ashurbanipal, king of the world, king of Assyria, (and) king of the four quarters (of the world) — 
To the king, my lord: your servant, Nabu-kudurri-uṣur. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... and tell it to the king.	We did not perform the ... we will write to the king, our lord, concerning the final accounting of the ... 
To the king, my lord: your servant Ikkaru. The very best of health to the king, my lord! May Nabû and Marduk bless the king, my lord! May Bel, Nabû and the Lady of Life give happiness and physical well-being to the king, my lord!	To the king, my lord: your servant Nabû-šumu-iddina. The very  best of health to the king, my lord! May Nabû and Marduk bless the  king, my lord! May Bel, Nabû, and Nergal guard the life of the king,  my lord! May they preserve the rule of the king, my lord, for all  eternity! 
It will increase by a fourth; he shall pay in Kislev (IX).	The silver shall increase by a fourth. He shall pay the bread on the day that (Nabû-šarru-ukin) demands it.
in all 80 hectares of land in cultivation by the copper seah of 9 'litres.'	An estate of x hectares of field in cultivation by the seah of 7 'litres' by the ... 'litre'.
the ... of the caravan brought.	The ... of the right of the 'cap' of the lung is split... 
Witness Issar-tariba.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
The emissary from Que ... is departing and going ... the Bow River; the ... of the Commander-in-Chief is with him.	The emissary from Que ... is departing and going to the city of Zabban; the ... of the commander-in-chief is with him.
I.e., on the 14th day the moon and the sun are seen together.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
... May the king, my lord ask NN and ... parri.	The 12 ... s which he/they ... to the king, my lord. NN and  Bel-ušabši 
x ... of silver ... belonging to Gallulu, at the disposal of Šepe-Issar, sailor.	... silver belonging to Inurta-šarru-uṣur, at the disposal of Tariba-Issar, son of Eribua.
... in accordance with ... 	Is the killing, plundering (or) looting of Ša-Nabû-šû, chief eunuch of Esarhaddon, king of Assyria, who is on a mission in Egypt, decreed and confirmed in accordance with the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
An eclipse (of the moon) occurred on the 14th of Sivan (III),  during the morning watch.	A lunar eclipse took place on the 14th of Sivan (III), during the morning watch. It started in the south (of the moon) and cleared up in the south. Its right side was eclipsed.
Witness Ea-lešir.	Witness Marduk-zeru-ibni, scribe.
Witness NN, (city) scribe of Arrapha.	Witness NN, scribe of the crown prince.
Witness Nabutî, cohort commander of the weavers.	Kinanni-Issar, cohort commander of the crown prince;
As to the ungelded bulls of which the king, my lord, spoke, I am now choosing them.	As to the stone bulls of which I spoke to the king, my lord, they will modify them and turn them into bull colossi, and we shall place them before the middlemost gate.
1, treasurer;	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
The evening watch means Akkad; Sivan (III) means the Westland; the 14th day means Elam; ... the Westland.	The month Sivan (III) means the Westland, the 15th day means the Westland; the evening watch means Akkad.
(Property) of Ninurta-nādin-šumi, king of the world, king of Babylon, king of Sumer (and) Akkad.	The palace of Esarhaddon, king of the world, king of Assyria, king of Sumer and Akkad, king of Karduniaš (Babylonia). 
Month Sivan (III), 1st day, eponym year of Nabû-da''inanni, governor of Que.	Month of Shebat (XI), 1st day, eponym year of Belšunu, governor of Hindana (648 B.C.).
... will see, hither ... 	and the king will hear ... 
total, the prefect of ... 	... into the presence ... 
I appointed him as the ... 	The trainees came with me and I appointed them in the service of the recruitment officers. Should the king, my lord, (wish to) summon them, they are in Calah at the disposal of the recruitment officers.
If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; the Westland will become smaller.	If the moon is surrounded by a halo and Mars stands in it: destruction of cattle and wild animals; the kor-measure will decrease; date plantations will not prosper; the Westland will become small.
I ordered archers, chariots, (and) horses of my royal contingent to confront (10') the king of the land Elam. They killed many of his troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the god Šamaš of Larsa (and) the goddess the Lady of Uruk, the gods living inside it, together with their property (and) possessions, which are without number. 	I ordered archers, chariots, (and) horses of my royal contingent to confront (30) the king of the land Elam. They killed many troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the deities Šamaš of Larsa, the Lady of the Rēš-Temple, the Lady of Uruk, Nanāya, Uṣur-amāssa, Bēlet-balāṭi, Kurunam, Kaššītu, (and) Palil, the gods who live in Uruk, together with their property (and) possessions, which are without number. 
in the town ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —	A tower (and) an estate of 10 hectares of land in the midst of a meadow in the town of ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —
... is  present. The 'strength' is absent. The left of the gall bladder is attached... of the 'finger' is split. In the top ... 	The 'station' and the 'path' are present. There are 3 'well-beings.' The left of the gall bladder is attached. The 'finger' is thick. The upper part ... 
I have not seen ... As to ... 	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
he shall bear the liability for ... 	I will bear the responsibility for ... 
... among these men	... on the horizon the moon and sun ... 
... who go there	... whom the king ... 
... well being sold.	Seal of ... , owner of the ... being sold.
                 came                                           	                                Previously                                           
The courtyard of the Ešuburanna ... 	Aššur-uballiṭ, appointee of the god Enlil, vice-regent of the god Aššur, for his life and the well-being of his city ... the courtyard of the chapel ... wall ... 
in all, 74 people, deportees	two adolescent girls ... : in all, 7 people.
Should Assurbanipal, king of Assyria, your creature, appoint the man whose name is  written in this oblong tablet and placed before your great divinity, to the office of the royal delegate in the temple of ... in the Inner City?	Should Assurbanipal, king of Assyria, appoint the man whose name is written in this tablet and placed before your great divinity, to an office? If he appoints him, will he ... become hostile to Assurbanipal, king of Assyria, his lord?
... which frighten ... 	They shall cut out his tongue. For the future, until far-off  days, among these Assyrian craftsmen, 'enterers,' performers of ilku-service ... his face ... 
Arbayu, governor;	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il of (the land Bīt)-Agusi (lit. “son of Agusi”) (against me)... Between the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I utterly defeated him and took his entire camp away from him. 	Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il (against me). In the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I defeated him and took his entire camp away from him. He became frightened of the terrifying radiance of my weapons and fled alone in order to save his life. 
CT 54 509 	CT 54 160 
... , the ... day, eponymy of ... , governor of ... 	... , the ... day, eponymy of Nabû-šar-aḫḫēšu, governor of the land Samaria (645).
Witness Nabû-kašir, overseer of reeds.	Witness Nabû-na'id, horse trainer ... 
The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds it.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
... sent the beginning of the message ... :	Adar (XII) and Elul (VI) are beginning of the year, as Nisan (I) and Tishri (VII) are at the beginning of the year.
