...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒁾𒉆𒈨𒌍𒊑𒆧𒀭𒂗𒆤𒌑𒋾𒁁𒇻𒌓𒀭𒈨𒌍𒃻𒀭𒂊𒅇𒅕𒍢𒋾𒈗𒌑𒌓𒀭𒐊𒐕𒐕𒅇𒀭𒀀𒉣𒈾𒆠𒉿𒊕𒋾𒃻𒈠𒈬𒅇𒀊𒈤𒄭𒈥𒁉𒅕𒈪𒀀𒉡𒌋𒂵𒀭𒈲𒈲𒈩𒋼𒉌𒊺𒋾𒃻𒀭𒊹𒈗𒀭𒈨𒌍𒋡𒆪𒋙𒄑𒁀𒌅𒈠𒀉𒈬𒄷𒅕𒆪𒋙𒍝𒇴𒁉𒈾𒋾𒋙𒌓𒋻𒋛𒈠𒋾𒋙𒍢𒊒𒍑𒋙...𒈲𒊑𒂊𒋾𒀭𒂊𒃲𒈨𒌍𒈥𒁉𒀭𒐊𒐕𒐕𒌋𒀭𒀀𒉣𒈾𒆠𒌑𒆗𒈩𒆪𒋙	DUB NAM.MEŠ ri-kis {d}-EN.LIL₂-u₂-ti be-lu-ut DINGIR.MEŠ ša₂ AN-e u₃ er-ṣe-ti LUGAL-u₂-ut {d}-i₂-gi₃-gi₃ u₃ {d}-a-nun-na-ki pi-riš-ti ša₂-ma-mu u₃ eš₃-mah-hi mar-kas₂ er-mi a-nu u ga-an-zer₃ ṣer-ret te-ne₂-še-ti ša₂ AN.ŠAR₂ LUGAL DINGIR.MEŠ qa-tuš-šu₂ iṣ-ba-tu-ma it-mu-hu ir-tuš-šu₂ ṣa-lam bi-na-ti-šu₂ tam-šil si-ma-ti-šu₂ ṣe-ru-uš-šu₂ ... ṣer-re-e-ti AN-e GAL.MEŠ mar-kas₂ {d}-i₂-gi₃-gi₃ u {d}-a-nun-na-ki u₂-kal rit-tuš-šu₂ 	The Tablet of Destinies, the bond of supreme power, dominion over the gods of heaven and netherworld, sovereignty over the Igīgū and A­nun­na­kū gods, the secret of the heavens and the netherworld, the bond of the cover of the heavens (lit. “Anu”) and the netherworld (Ganzer), the lead-rope of mankind, which (the god) Aššur, king of the gods, took in his hand and held at his breast — a representation of his form, a replica of his proper appearance, is ... on it (the Tablet of Destinies): He grasps in his hand the lead-rope of the great heavens, the bond of the Igīgū and Anunnakū gods.
𒄠𒈠𒋼𒅀𒀀𒈾𒇡𒅗	am-ma-te-ia a-na-ṣar-ka 	and my forearm.
𒇽𒍢𒊏𒉌𒂊𒃻𒁹𒈾𒀜𒉡𒇽𒈾𒁀𒀀𒌅𒌑𒀀𒀀𒈾𒉺𒀭𒈗𒁷𒌁𒆠𒆠𒄿𒅋𒇷𒆪𒌑𒉌𒁹𒈨𒌷𒄵𒋫𒀀𒀀𒌋𒐊𒆳𒀸𒋩𒃻𒄿𒈾𒄘𒃮𒀀𒆠𒍝𒀊𒌅𒀴𒈨𒌍𒃻𒈗𒁁𒉌𒐊𒀀𒈾𒉡𒌒𒌅𒈗𒁷𒌁𒆠𒀀𒈾𒁹𒈾𒀜𒉡𒌌𒋼𒁉𒇷	{LU₂}-ṣi-ra-ne₂-e ša₂ {1}-na-at-nu {LU₂}-na-ba-a-tu-u₂-a a-na pa-an LUGAL TIN.TIR {KI} ki-i il-li-ku-u₂-ni 01-me {URU}-bir-ta-a.a u 05 KUR—aš-šur ša₂ i-na GU₂.DU₈.A {KI} ṣa-ab-tu ARAD-MEŠ ša₂ LUGAL be-li₂-ia₂ a-na nu-up-tu LUGAL TIN.TIR {KI} a-na {1}-na-at-nu ul-te-bi-li 	When emissaries of Natnu, the Nabayatean, came to the king of Babylon, the king of Babylon sent to Natnu as an extra gift one hundred Biratians and five Assyrians, who had been taken prisoner in Cutha, servants of the king, my lord.
𒀸𒌋𒅗𒋙𒄿𒁀𒅆𒉿𒉌...𒋫𒄷𒈬𒂊𒋫𒁀𒊒𒉌𒌷𒊺𒀸𒊮𒁉𒄿𒍝𒀊𒌓	ina UGU-šu₂ i-ba-ši pi-ni ... ta-hu-mu e-ta-ba-ru-ni {URU}-ŠE ina ŠA₃-bi i-ṣa-ab-tu₂ 	They disobeyed our orders, crossed the border and seized a village there.
𒊭𒁹𒀭𒂗𒋻𒍢𒀭𒈠𒇽𒃻𒆳𒇽𒃻𒆳𒌷𒆗𒄩𒁹𒀭𒅎𒂟𒃮𒈗𒆳𒀸𒋩𒌑𒍠𒆠𒈠𒀀𒈾𒁹𒀭𒉺𒂦𒂗𒅀𒇽𒃻𒊕𒋗𒀉𒁷	ša {1}-{d}-EN—tar-ṣi—DINGIR-ma {LU₂}-GAR.KUR {LU₂}-GAR.KUR {URU}-kal-ha {1}-{d}-IM—ERIM.GABA LUGAL KUR—aš-šur u₂-zak-ki-ma a-na {1}-{d}-PA—BAD₃—EN-ia {LU₂}-ša₂—SAG-šu id-din 	(under the authority) of Bel-tarṣi-ilumma, prefect of Calah, Adad-nerari (III), king of Assyria, exempted (from taxes) and gave to Nabû-dur-beliya, his eunuch.
𒄿𒁕𒀀𒋼𒄿𒁕𒀀𒋼𒈗𒋫𒂍𒀭𒂍𒀭𒄿𒆗𒁉	i—da-a-te i—da-a-te LUGAL TA E₂—DINGIR E₂—DINGIR i-lab-bi 	Thereafter the king circumambulates the House of God.
𒇽𒃻𒌆𒋙𒇽𒃻𒌆𒋙𒈗𒄿...	{LU₂}-GAR—UMUŠ-šu₂ {LU₂}-GAR—UMUŠ-šu₂ LUGAL i-... 	the king ... his commandant 
𒐈𒅗𒈲𒈨𒌍𒊭𒌉𒁹𒆰𒄿𒄴𒊑𒄣𒌋𒉌𒀀𒈾𒁹𒄗𒋼𒀀𒅕𒌉𒁹𒁀𒁕𒀀𒀀𒀸𒆜𒉿𒄿𒋫𒉡𒋗𒉡𒋧𒈬𒀸𒂍𒃲𒁁𒉌𒉈𒈬𒌑𒋫𒊏𒁁𒉌𒇺𒁍𒊏𒁹𒅀𒁲𒀪𒄿𒌓𒀪𒀀𒀀𒄑𒋛𒅀𒇻𒁉𒆷...𒆪𒋢...	03 {LU₂~v}-ka-ṣir-MEŠ ša DUMU—{1}-NUMUN-i ih-tal-qu-u-ni a-na {1}-SUH₃—KAR-ir DUMU {1}-ba-da-a.a ina kas-pi i-ta-nu-šu-nu šum₂-mu ina E₂.GAL be-li₂ ṭe₃-mu u₂-ta-ra be-li₂ liš-pu-ra {1}-ia-di-iʾ {LU₂~v}-i-tu₂-ʾa-a.a is-si-ia lu-bi-la ... ku su ... 	Three tailors of the son of Zerî ran away here, but they have sold them for money to Tešî-eṭir, son of Badaya. If my lord submits a report to the Palace, my lord should write (about it). I will bring Yadi' the Itu'ean with me.
𒀉𒋾𒆪𒉡...𒈨𒌍𒀸𒄫𒂍𒇽𒀳𒈨𒌍𒆪𒉡...	it-ti-ku-nu ... MEŠ ina qer-bit {LU₂}-ENGAR-MEŠ-ku-nu ... 	with you ... in the fiels of your farmers ... 
𒉽𒌋𒐌𒍣𒈨𒌍𒊭𒆷𒄑𒇷𒀪	PAB 17 ZI-MEŠ ša la {GIŠ}-le-ʾi 	In all 17 people, who are not on the writing-board. 
𒉌𒂟𒉈𒋙𒆠𒄿𒈪𒅋𒌋𒆗𒉡𒅋𒌨𒌋𒉌𒉌𒋫𒋫𒄴𒀸𒊮𒁉...𒀀𒄑𒀀𒄯𒁷𒉡...𒅔𒈾𒂇𒌑𒈠𒀀𒋧𒈠𒉺𒀭𒌋𒌋𒂗𒐊𒈠𒆟	ni-zab-bil-šu₂ ki-i mi-il-u dan-nu il-lik-u-ni ni-ta-ta-ah ina ŠA₃-bi ... a {GIŠ}-a-mur-din-nu ... in-na-mir u₂-ma-a šum₂-ma pa-an MAN EN-ia₂ ma-hir 	as the strong flood came, we lifted it up ... in ... a bramble was seen ... Now, if it pleases the king, my lord ... 
𒁹𒄑𒆪𒋾𒀭𒊩𒌆𒅁𒌋𒌋𒆧𒌋𒌋𒆗𒉡𒌋𒌋𒆳𒀸𒋩𒉌𒋃𒀸𒋩𒋃𒀸𒋩𒉺𒇻𒈾𒀀𒁺𒈪𒄫𒀭𒀀𒉏𒌋𒀭𒁁𒃻𒀭𒀸𒋩𒌋𒀭𒈨𒌍𒃲𒈨𒌍𒈬𒋙𒆠𒄑𒅁𒁍𒌑𒄒𒋥𒐉𒁹𒃻𒉺𒊑𒀉𒁲𒉡𒋙𒌋𒁁𒇻𒋛𒈾𒁹𒋡𒋾𒋗𒌑𒈨𒇻𒌑...𒀯𒌨𒄯𒆳𒆳𒉽𒈨𒌍𒂊𒇺𒉺𒅁𒇺𒌋𒌋𒆗𒉡𒇷𒌑𒉠𒃻𒄒𒋥𒐉𒅈𒆠𒀭𒃻𒈦𒅕𒋼𒌑𒁹𒆪𒀀𒀭𒁲𒈠𒉡𒈦𒌋𒌋𒆳𒀸𒋩𒀀𒀭𒌋𒂟𒃮𒌋𒌋𒆳𒀸𒋩𒈠	{m}-{GIŠ}-tukul-ti-{d}-nin-urta MAN KIŠ MAN dan-nu MAN KUR aš-šur ni-šit aš-šur ŠID aš-šur SIPA na-a-du mi-gir {d}-a-nim u {d}-BAD ša₂ {d}-aš-šur u DINGIR.MEŠ GAL.MEŠ MU-šu₂ ki-niš₂ ib-bu-u₂ kib-rat 4 ana ša₂-pa-ri id-di-nu-šu₂ u be-lu-si-na ana qa-ti-šu u₂-me-lu-u₂ ... mul-tas-hir₂ KUR.KUR KUR₂.MEŠ e-liš šap-liš MAN dan-nu le-u₂ MURUB₄ ša₂ kib-rat 4 ar-ki {d}-ša₂-maš ir-te-u₂ ana-ku A {d}-sal₂-ma-nu-MAŠ MAN KUR aš-šur A {d}-10-ERIM.TAH₂ MAN KUR aš-šur-ma 	Tukultī-Ninurta, king of the universe, strong king, king of Assyria, chosen of Aššur, vice-regent of Aššur, attentive shepherd, favorite of the gods Anu and Enlil, whose name the god Aššur and the great gods faithfully called, the one to whom they gave the four quarters to administer and the one to whom they entrusted their dominion, ... the one who encircled enemy lands above (and) below, strong king, capable in battle, the one who shepherds the four quarters at the heels of the god Šamaš, I; son of Shalmaneser (I), king of Assyria; son of Adad-nārārī (I) (who was) also king of Assyria:
𒀸𒂍𒅗𒉡𒊓𒆸𒆠𒁀𒈨𒌍𒃮𒁍𒅕𒊑𒋙𒀀𒈾𒂗𒅀𒅅𒋻𒁍	ina E₂-ka nu-sa-kil {LU₂~v}-qi₂-ba-MEŠ gab-bu ir-ri-šu₂ a-na EN-ia ik-tar-bu 	We have fed your house. All the delegates are rejoicing and have blessed  my lord.
𒃻𒆳𒃮𒁉𒃻𒀸𒊮𒁉𒅅𒊏𒀀𒉌𒁹𒈨𒄞𒈨𒌍𒊺𒈨𒌍𒁹𒅆𒄞𒀫𒈨𒌍𒌋𒇻𒈨𒌍𒌑𒊑𒂊𒌋𒐉𒅆𒇻𒁮𒃼𒈨𒌍𒀸𒅆𒀭𒈹𒊩𒌆𒋾𒅀𒈫𒈨𒄞𒈨𒌍𒀸𒅆𒀭𒈹𒊩𒌆𒋾𒅀𒁹𒅆𒇻𒋛𒋤𒄷	ša₂ KUR gab-bi ša₂ ina lib₃-bi iq-ra-a-ni 1 ME GU₄.MEŠ ŠE.MEŠ 1 LIM GU₄.AMAR.MEŠ u UDU.MEŠ u₂-re-e 14 LIM {UDU}-DAM.GAR₃.MEŠ ina IGI {d}-INANNA NIN-ti-ia 2 ME GU₄.MEŠ ina IGI {d}-INANNA NIN-ti-ia 1 LIM {UDU}-si-ser-hu 	invited inside Aššur, the great lord, and the gods of the entire land; 100 fat oxen, 1,000 calves (and) sheep of the stable, 14,000 ... -sheep which belonged to the goddess Ištar my mistress, 200 oxen which belonged to the goddess Ištar my mistress, 1,000 siserḫu-sheep,
𒁹𒀯𒀭𒅎𒂂...𒈬𒌌𒀭...𒁀𒀭𒋧𒈠𒋗𒊒𒌒𒁍𒌋𒁀𒅋𒋧𒈠𒂗𒋼𒈾...	1 {MUL}-{d}-IM.DUGUD ... mu-ul {d}-... ba-il₃ šum₂-ma šu-ru-up-pu-u ba-il šum₂-ma EN.TE.NA ... 	If the Anzu star ... is bright: either frost or cold ... 
𒈭𒋾𒉌𒅁𒀭𒇳𒀸𒂍𒄑𒈿𒂊𒋼𒋻𒁀𒆠𒈫𒈠	tah-ti-ni-ip {d}-LAL₂ ina E₂—GIŠ.NA₂-e te-tar-ba KI.MIN-ma 	Tašmetu, looking luxuriant, entered the bedroom. Refrain.
𒀭𒀸𒋩𒈬𒃶𒌋𒌋𒉺𒅁𒋢𒋾𒆍𒃲𒀸𒋩	{d}-aš-šur mu-kan-niš šab-su-ti KA₂.GAL aš-šur 	“Aššur is the subduer of the angry”: the Gate of Aššur.
𒆠𒄿𒊭𒀀𒈾...𒀸𒌷𒉌𒉡𒀀𒂊𒉺𒋙𒌋𒉌𒆠𒄿𒄩𒀭𒉏𒈠𒀸𒌷𒆗𒄩𒅁𒁍𒋙	ki-i ša a-na ... ina {URU}-ni-nu-a e-pa-šu₂-u-ni ki-i ha-an-nim-ma ina {URU}-kal-ha ep-pu-šu₂ 	Just as the ... were performed in Nineveh, so they will be performed in Calah.
𒈠𒀀𒋀𒈨𒌍𒉌𒂍𒈨𒌍𒉌𒄿𒁀𒅆	ma-a ŠEŠ-MEŠ-ni E₂-MEŠ-ni i-ba-ši 	Our brothers and families ... "
𒇽𒂟𒌋𒌋𒁕𒌑𒆳𒁀𒄠𒈠𒂍𒋗𒀀𒁴𒌒𒁉𒀉𒈠𒌑𒊭𒌨𒋗𒋼𒀀𒈬𒌅𒄿𒈾𒉺𒇷𒂊𒀀𒆠𒄿𒉏𒀭𒂗𒍪𒂗𒃲𒌑𒄿𒈾𒈾𒊏𒄠𒈗𒌑𒋾𒅀	{LU₂}-ERIM-man-da u₂-šat-ba-am-ma E₂ šu-a-tim ub-bi-it-ma u₂-ša-lik-šu kar-mu-tu i-na pa-le-e-a ki-i-nim {d}-EN.ZU EN GAL-u₂ i-na na-ra-am LUGAL-u₂-ti-ia 	I, Nabonidus, the shepherd who reveres his divinity, became frightened by his firm command, (but) was attentive. I was worried about (his) desire for an ēntu-priestess.
𒐍𒈠𒈾𒆬𒌓𒊭𒀭𒅆𒁺𒊭𒌷𒌑𒉿𒄿𒀸𒌋𒅗𒈫𒃻𒈾𒈨𒌍𒆷𒁉𒊒𒌋𒋾𒊭𒀭𒃽𒌷𒀝𒃰𒌨𒋫𒀜𒁲𒌍𒋗𒌓𒂊𒋫𒉺𒀾	08 MA.NA KUG.UD ša {d}-IGI.DU ša {URU}-u₂-pi-i ina UGU 02 NIG₂.NA-MEŠ la-bi-ru-u-ti ša {d}-GAŠAN—{URU}-ak-kad ur-ta-ad-di eš-šu-tu₂ e-ta-pa-aš₂ 	8 minas of silver of the god Palil of Opis: I added to the two old incense-burners of the Lady of Akkad, and made new ones.
𒀀𒆗𒉡𒅎𒇻𒌑𒌓𒈬𒃻𒅅𒁍𒌑𒀭𒈾𒀭𒈾𒊑𒀸𒌗𒇯𒌓𒌋𒐌𒄰𒌓𒈬𒀭𒌍	a-dan-nu im-lu-u₂ u₄-mu ša₂ iq-bu-u₂ {d}-na-an-na-ri ina {ITI}-DU₆ UD.17.KAM u₄-mu {d}-30 	Nabonidus, king of Babylon, the reliable young man, who is attentive towards the will of the gods, the humble (and) submissive one who reveres the great gods, the wise prince who understands everything there is, the exalted ruler who renovates all cult centres, the capable ruler who completes sanctuaries (and) makes sattukku-offerings abundant
𒌋𒅗𒅆𒄵𒋼𒊭𒋫𒇷𒅗𒉌𒈠𒀀𒀀𒋫𒀀𒄑𒃡𒈨𒌍𒈾𒈥𒆪𒌋	UGU ši-bir-te ša ta-li-ka-ni ma-a a-ta-a {GIŠ}-UR₃-MEŠ na-mar-ku-u 	As to the message which I got: "Why are the beams late?" —
𒌝𒈠𒀀𒈾𒆪𒄿𒈾𒉘𒉌𒅀...𒇽𒀀𒆥𒅗𒇽𒀀𒆥𒅗𒇸𒇷𒆚𒈠...𒌌𒋫𒋛𒅅𒄒𒈠𒌌...𒋫𒉌𒄴𒄭𒋛𒌒𒅗𒌋𒌋...	um-ma a-na-ku i-na ram-ni-ia ... {LU₂}-A—KIN-ka {LU₂}-A—KIN-ka lil-li-kam₂-ma ... ul ta-si-ik-kip-ma ul ... ta-ni-ih-hi-si ar₂-ka-niš ... 	I will at my own expense ... May your messenger come and ... ! If you ... , you will not defeat ... and not ... ; you will retreat ... , (and) afterwards ... will destroy my people."
...𒍑𒋩𒐖𒌍𒋙𒃮𒆕𒍠𒂵𒂊𒁉𒊮𒆸𒆸𒐖𒌍𒄥𒈨𒌍𒌋𒐍𒋃𒋙𒉡o	... uš-šur 150-šu₂ DU₈ GAG.ZAG.GA e-bi ŠA₃.NIGIN 150 GUR-MEŠ 18 ŠID-šu₂-nu o 	... is loose. Its left is split. The breast-bone is thick. The coils of the colon are turned on the left and are 18 in number... 
𒀀𒈾𒀭𒀀𒋩𒅇𒀭𒈨𒌍𒃲𒈨𒌍𒀜𒆗𒈠𒀉𒋾𒋗𒉡𒄠𒁕𒄩𒊍𒀀𒁉𒅅𒋫𒋗𒉡𒀸𒆪𒌦𒂖𒇷𒋢𒉡𒌑𒉺𒊑𒅕𒍗𒄣𒊏𒁲𒋗𒉡...𒊑𒋫𒇻𒌑𒈠𒀠𒇷𒈗𒈨𒌍𒅇𒆳...𒈠𒀠𒈠𒀠𒇺...	a-na {d}-a-šur u₃ DINGIR.MEŠ GAL.MEŠ at-kal-ma it-ti-šu-nu am-da-ha-aṣ a-bi-ik-ta-šu-nu aš-ku-un el-le-su-nu u₂-pa-ri-ir UŠ₂ qu-ra-di-šu-nu ... ri-ta lu u₂-ma-al-li LUGAL.MEŠ u₃ KUR ... ma-al-ma-al-liš ... 	I trusted in the god Aššur and the great gods and fought with them. I brought about their defeat, scattered their forces, filled the meadows with the blood of their warriors ... The kings and the land ... equally ... 
𒇻𒀴𒄿𒈾𒌋𒅗𒈦𒆠𒀉𒋼𒄿𒈾𒆧𒇽𒍑𒆪𒄿𒍝𒄯	UDU.NITA₂ i-na UGU maš-ki-it-te i-na-kis {LU₂}-UŠ.KU i-za-mur 	The chanter shall sing.
𒉣𒄣𒀸𒅆𒀭𒈨𒌍𒃻𒀭𒂊𒂊𒋫𒁄𒊩𒀾𒃼𒈨𒌍𒅅𒌅𒇻...𒋢𒊩𒈨𒌍𒃻𒄑𒃾...	sil₂-qu ina IGI DINGIR-MEŠ ša₂ AN-e e-ta-pal {MI₂}-AŠ₂.QAR-MEŠ iq-tu-lu ... {KUŠ}-SAL-MEŠ ša₂ {GIŠ}-GEŠTIN ... 	He provided cooked meat before the gods of heaven, burnt female kids, ... , ... skins of wine ... 
𒌓𒅗𒁇𒈠𒀭𒍪𒌋𒆷𒀾𒄷𒆠𒋫𒌑	UD.KA.BAR {ma} an-zu-u la-aš₂-hu KI.TA-u₂ 	The drum is his lower jaw.
𒁁𒉌𒄿𒉌𒌌𒉌...	be-li₂-i-ni ul ni-... 	we did not ... the ... of our lord,
𒈫𒀲𒇽𒃻𒉡𒆗𒆗𒈨𒌍𒀀𒈾𒀳𒈨𒌍𒋫𒁷o	02 ANŠE {LU₂}-GAR-nu kal-lap-MEŠ a-na ENGAR-MEŠ ta-din o 	2 hectares, ditto, the prefect of the outriders — given to the farmers.
𒈫𒀲𒀀𒊮𒁹𒂍𒀸𒅆𒆍𒃲𒃻𒀏𒆠𒁹𒀭𒈦𒀜𒉽𒀀𒁲𒌦𒈨𒌍𒋙𒁹𒄖𒊏𒀪𒆠𒈫𒉽𒀸𒃮𒋛𒌷𒆗𒄩	02 ANŠE A.ŠA₃ 01 E₂ ina IGI KA₂.GAL ša₂ NINA {KI} {1}-{d}-MAŠ—AD—PAB a-di UN-MEŠ-šu₂ {1}-gu-ra-aʾ KI.MIN PAB ina qab-si {URU}-kal-ha 	2 hectares of field, 1 house opposite the Nineveh Gate;  Inurta-abu-uṣur and his people; Gura', ditto. Total in central Calah.
𒌋𒀀𒃻𒀭𒈾𒉡𒅁𒋙𒃻𒁹𒈗𒌋𒅀𒀝𒁍𒌑𒌝𒈠𒌋𒈫𒈠𒈾𒆬𒄀𒃻𒀀𒈾𒂄𒈠𒈾𒀀𒋾𒀀𒈾𒀭𒂗𒄿𒊒𒁀𒀸𒉺𒉌𒅀𒀀𒈾𒀀𒀀𒊒𒅇𒋼𒂗𒋙𒌑𒃻𒀭𒇡𒉺𒉌𒌈𒂊𒋼𒁍𒍑𒉌𒌓𒈩𒈨𒃻𒈗𒁁𒉌𒀀𒀉𒁲𒈾𒀀𒁺𒌑𒅁𒁍𒍑𒁹𒊮𒂇𒀭𒀀𒉏𒁲𒂵𒇻𒅋𒆷𒆪𒅇𒀀𒈾𒊮𒀸𒈨𒈨𒌍𒁲𒂵𒇷𒅗𒅋𒆷𒆪𒀸𒂍𒅘𒄰𒁺𒂍𒅘𒄰𒁺𒃻𒂍𒀭𒊹𒂍𒀭𒊹𒃻𒆥𒃻𒆷𒇽𒋃𒌋𒁹𒀭𒀝𒋼𒀀𒍣𒈨𒌍𒌋𒌋𒈠𒌌𒄿𒁁𒋾𒂗𒈾𒀀𒈾𒈗𒁁𒉌𒅀𒀠𒋰𒊏𒌋𒌋𒈠𒃻𒉺𒉌𒌋𒌋𒌋𒅀𒈤𒊒𒈗𒇺𒁍𒉘𒈠𒈜𒋼𒂊𒈠𒇻𒋗𒋾𒈠𒁹𒈗𒌋𒅀𒂁𒁷	u a-ša₂-an-na-nu ep-šu₂ ša₂ ana LUGAL U-ia aq-bu-u₂ um-ma 12 MA.NA KUG.GI ša₂ a-na šul-ma-na-a-ti a-na {d}-EN i-ru-ba ina pa-ni-ia a-na a.a-ru u₃ te-en-šu₂-u₂ ša₂ {d}-zar-pa-ni-tum e-te-pu-uš {NA₄}-KIŠIB-ME ša₂ LUGAL be-li₂-a id-di-na a-du-u₂ ep-pu-uš ana ŠA₃ AGA {d}-a-nim di-ga-lu il-la-ku u₃ a-na ŠA₃ AŠ.ME-MEŠ di-ga-li-ka il-la-ku ina E₂—nak-kam-du E₂—nak-kam-du ša₂ E₂—AN.ŠAR₂ E₂—AN.ŠAR₂ ša₂-kin ša₂ la {LU₂}-SANGA u {1}-{d}-AG—KAR—ZI-MEŠ mam-ma ul i-bat-ti en-na a-na LUGAL be-li₂-ia al-tap-ra mam-ma ša₂ pa-ni MAN U-ia mah-ru LUGAL liš-pu-ram-ma lip-te-e-ma lu-qat-ti-ma ana LUGAL U-ia lud-din 	About what I said to the king, my lord: "The 12 minas  of gold which came in to me as gifts for Bel I have made  into rosettes and ... -ornaments for Zarpanitu." I will now fashion the seals which the king, my lord, gave me. The gems going on  the crown of Anu, and those gems of yours going on the sun disks are stored in the treasury of the temple of Aššur. No one can  open (it) without the authority of the priest and Nabû-eṭir-napšati... I have now written to the king, my lord, that the king  send me anyone whom the king, my lord, pleases to open (the treasury),  so that I can finish (the work) and give it to the king, my lord.
...𒅅𒁲𒇻𒌑	... ig-di-lu-u₂ 	have been deported.
𒃮𒁲𒄑𒊬o𒉽𒐈𒉡𒄑𒊬𒈨𒌍𒃻𒌷𒄷𒆰𒄿𒈾	gab-di {GIŠ}-SAR o PAB 03 NU.GIŠ.SAR-MEŠ ša₂ {URU}-hu-zir-i-na 	In all, 3 gardeners of the city Huzirina
𒉌𒌓𒈩𒁹𒀭𒈦𒀭𒀀𒀀𒈫𒌋𒊭𒌷𒁕𒈾𒀀𒀀	{NA₄}-KIŠIB {1}-{d}-MAŠ-DINGIR—a.a {LU₂~v}-02-u ša {URU}-da-na-a.a 	Seal of Inurta-ila'i, deputy of the town of Dannaya;
𒅁𒁍𒋗𒀀𒆳𒌑𒆠𒂗𒌈𒃻𒅆𒋾𒅆𒄿o	ep-pu-šu a-mat-u₂ ke-en-tum ša₂-lim-ti ši-i o 	is it a reliable rumor?
𒀀𒇷𒆪𒋾𒃻𒌷𒇹𒀭𒌋𒄿𒊑𒁍𒋾𒋗𒄩𒁲𒌋𒄿𒊕𒋗𒌋𒅋...	a-li-ku-ti ša₂ {URU}-arba-il₃ u i-ri-bu-ti-šu ha-di-u i-riš-šu u il-... 	Those who leave Arbela and those who enter it are glad, they rejoice and ... 
𒀭...𒈪𒌓𒀭𒀀𒀀𒄿𒌓𒀭𒊩𒌆𒋾𒆷𒀭𒋫𒄷𒊏𒀭𒀉𒋫𒆳𒀭𒈨𒌍𒀭𒄬𒁲𒀀𒍢𒊏𒀭𒄬𒆷𒋛𒀀𒀭𒇻𒆷𒆪𒀭𒀮𒊑𒅖𒀭𒌋𒄥𒃻𒄷𒌒𒊩𒀭𒀴𒊏𒃲𒀭𒀊𒆠𒊹𒀭𒆳𒉡𒀭𒈾𒈾𒀀𒀭𒊩𒌆𒌷𒀭𒊩𒌆𒂗𒆤𒆠𒀭𒊩𒌆𒀜𒋡𒀜𒀭𒄤𒁀𒁀𒀭𒊩𒌆𒀀𒍪𒀭𒅀𒀊𒊑𒌓𒀭𒅁𒆷𒄿𒌅𒀭𒋡𒀠𒁕𒄿𒌅𒀭𒊩𒌆𒇡𒁁𒀭𒋡𒀜𒊏𒁍𒌓	{d}-... mi-tu₂ {d}-A.A-i-tu₂ {d}-NIN—TI.LA {d}-ta-hu-ra {d}-it-ta-lad—DINGIR-MEŠ {d}-hal-di—a-ṣi-ra {d}-hal-la-si-a {d}-lu-la-ku {d}-nap-ri-iš {d}-U.GUR ša₂ hu-ub-šal {d}-IR₃.RA.GAL {d}-AB.KI.ŠAR₂ {d}-KUR-nu {d}-na-na-a {d}-NIN—URU {d}-NIN—EN.LIL₂ {KI} {d}-NIN—ad-qa-at {d}-gaz-ba-ba {d}-NIN.A.ZU {d}-ia-ab-ri-tu₂ {d}-ib-la-i-tu {d}-qa-al-da-i-tu {d}-NIN—ṣar-be {d}-qa-at—ra-bu-tu₂ 	... mitu, Ayitu, Belet-balaṭi, Tahura, Ittalad-ilani, Haldi-aṣira, Hallasia, Lulaku, Napriš, Nergal of Hupšal, Erragal, Abkišar, Šadanu; Nanaya, the Lady of the City, Lady of Nippur, Belet-Adqat, Gazbaba, Ninazu, Yabritu, Iblaitu, Qaldaitu, Belet-ṣarbe, Qat-rabutu, 
