not to harm ... 	not to ... 
                                  Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 	Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 
... Nergal-abu-... 	... Nergal ... 
Witness ... didi.	Witness ... 
NN (said): "Let me go to ... ;" but NN held him back, saying, "You will go ... with me."	NN said, "Let me go to ... ," but NN held him back, saying, "You will go ... with me."
If the moon is slow in its course: the harvest of the land will prosper.	If the moon is slow in its course: the harvest of the land will prosper. — It is seen on the 14th day.
a flask of mēzu-wine; a flask of lā'u-wine.	A flask of mēzu-wine; a flask of lā'u-wine.
In  the  top  of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             	In the top of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, or has touched the (libation) beer, the maṣhatu flour, the water, the pot, or the fire... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, (or) has touched the (libation) beer, the maṣhatu-flour, the water, the container, or the fire... 
Witness Ša-la-mašê, mayor.	Witness Ša-la-mašê.
Month ... , 11th day, eponym year of Adad-šarru-uṣur, governor of Marqasi.	Month Shebat (XI), 7th day, eponym year of Nabû-šarru-uṣur, governor of Marqasa.
If the moon is surrounded by a halo, and Regulus stands in it: pregnant women will give birth to male children.	If the moon is surrounded by a halo, and Regulus stands in it: in that year pregnant women will give birth to male children.
Witness ... uni.	Witness ... 
I gathered the bought people who had become slaves (and) who had been distributed among the (foreign) riffraff and counted (them once again) as Babylonians. I returned their looted possessions, provided the naked with clothing, (and) let them take the road to Babylon. I encouraged them to (re)settle the city, build houses, plant orchards, (and) dig canals. 	I established anew the remission of debts of the wronged citizens of Babylon, people (entitled to) the privileged status (and) freedom (guaranteed by) the gods Anu and Enlil. I gathered the bought people who had become slaves (and) who had been distributed among the (foreign) riffraff and counted (them once again) as Babylonians. I returned their looted possessions, provided the naked with clothing, (and) let them take the road to Babylon. I encouraged them to (re)settle the city, build houses, plant orchards, (and) dig canals. 
side ... 	outside ... 
Neš-ili-mati, Neš-igigani, the Steps and the Lahmus of the Eastern Gate; Nusku, the Bull-Son-of-Šamaš and the Judges behind (the God);	Tambaya (and) Šamšiya; Enpi, Kalkal, Neš-ili-mati, Neš-igigani, the Steps and the Lahmus of the Eastern Gate; Nusku, the Bull-Son-of-Šamaš and the Judges behind (the God);
in cultivation ... 	... in cultivation ... 
Witness Tariba-Issar, cook.	Witness Tariba-Issar, tailor.
The kallāpu messenger ... 	The messengers ... 
the troops of Assurbanipal, king of Assyria,	The envoys of Assurbanipal, king of Assyria,
On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, (iv 20) Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — I had my camp pitched at the foot of Mount Nipur. 	On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — (iii 5'') I had my camp pitched at the foot of Mount Nipur. 
Witness NN, weaver.	Witness Nabutî, weaver.
... goldsmiths	... goldsmith
... happiness ... 	... his ... 
and the rest ... 	and the face ... 
Just as this waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!	Just as (this) waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!
... with the favours	... with the viziers
When there was an epidemic here, Ilu-bi'di a cohort commander of the ... under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you the money." Now this Ilu-bi'di has died; his wife, as the king knows,  has married a young boy and that person has been serving under me as a cook.	When there was an epidemic here, Ilu-bi'di a cohort commander under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you money." (Now this) Ilu-bi'di has died; his wife, has married ... , a young boy, and that person has been serving under me as a cook.
(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, the lapis lazuli mountain, (and) upon the soil of whose land none of the kings, my ancestors, had walked —  I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, (i' 10') who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, (and) Bactrian camels, their heavy plunder. 	(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders on Mount Bikni, the lapis lazuli mountain, (iii' 5') (and) upon the soil of whose land none of the kings, my ancestors, had walked — I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, donkeys, (and) Bactrian camels, their heavy plunder.
To the king, my lord: your servant, Nabu-kudurri-uṣur. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant Nabû-zeru-uṣur, the scribe of the palace supervisor. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
To the king, my lord: your servant Ikkaru. The very best of health to the king, my lord! May Nabû and Marduk bless the king, my lord! May Bel, Nabû and the Lady of Life give happiness and physical well-being to the king, my lord!	To the king, my lord: your servant Banî. The very best of health to the king, my lord! May Ninurta and Gula give happiness and physical well-being to the king, my lord!
owner of the field being sold.	... owner of the people being sold.
Witness Issar-tariba.	Witness Issar-na'id.
The emissary from Que ... is departing and going ... the Bow River; the ... of the Commander-in-Chief is with him.	The emissary from Que ... is departing and going to the city of Zabban; the ... of the commander-in-chief is with him.
Witness Gilgameš-edašu-šakšid.	Witness Nanî. Witness Gilgameš-edašu-šakšid.
... in accordance with ... 	in accordance with ... 
May he constantly exercise the rule over the people who are of privileged status (and have) šubarrû-privileges (granted) by the great gods. (ii 30) During his reign may those ones with šubarrû-privileges not become disordered. May he take away their negligence and erase their sin. Let turmoil be anathema to them (ii 35) (and) may he make their heart(s) rejoice. Like the foundations of Uruk and Eanna, may their foundations be firm.	May he exercise the rule over the people who are of privileged status (and) freed from taxation by the great gods! During his reign may those ones freed from taxation not be in disorder! May he decrease their negligence and may he remove their sin! Let turmoil be unknown to them (and) may he make their heart(s) rejoice! Like the foundations of Uruk and Eanna, may their foundations be firm!
Witness Ea-lešir.	Witness Ahu-lešir.
Witness Nabutî, cohort commander of the weavers.	Witness Zarutî, cohort commander of the prince.
1, treasurer;	x, the treasurer;
and he ... 	and to ... 
(Property) of Ninurta-nādin-šumi, king of the world, king of Babylon, king of Sumer (and) Akkad.	(Property) of Marduk-nādin-aḫḫē, king of the world, king of Babylon, king of Sumer (and) Akkad.
Month Sivan (III), 1st day, eponym year of Nabû-da''inanni, governor of Que.	In the month of Tebet (X), 6th day, eponym year of Nabû-da''inanni, (governor) of Que.
... will see, hither ... 	... fills their ... 
The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and he made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (10) (and) he put in my hand a merciless rod to fell enemies. He made rulers of the four quarters (of the world), from east to west, bow down at my feet and they (now) pull my yoke.	The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (and) he put in my hand a merciless rod to fell enemies.
total, the prefect of ... 	the prefect of ... 
I ordered archers, chariots, (and) horses of my royal contingent to confront (10') the king of the land Elam. They killed many of his troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the god Šamaš of Larsa (and) the goddess the Lady of Uruk, the gods living inside it, together with their property (and) possessions, which are without number. 	I ordered archers, chariots, (and) horses of my royal contingent to confront (30) the king of the land Elam. They killed many troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the deities Šamaš of Larsa, the Lady of the Rēš-Temple, the Lady of Uruk, Nanāya, Uṣur-amāssa, Bēlet-balāṭi, Kurunam, Kaššītu, (and) Palil, the gods who live in Uruk, together with their property (and) possessions, which are without number. 
I have not seen ... As to ... 	I have not seen ... 
... among these men	... among them
Let them be taken out and put aside! 	Let them be taken out and put aside!             
                 came                                           	                                Previously                                           
... the king of ... 	... whom the king ... 
The courtyard of the Ešuburanna ... 	The great courtyard of the Ekur in ... 
... Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?
in all, 74 people, deportees	 in all, 29 people, deportees.
Should Assurbanipal, king of Assyria, your creature, appoint the man whose name is  written in this oblong tablet and placed before your great divinity, to the office of the royal delegate in the temple of ... in the Inner City?	Should Assurbanipal, king of Assyria, appoint the man whose name is written in this oblong tablet and placed before your great divinity, to the priesthood of Anu in the Inner City?
... which frighten ... 	... which we ... 
CT 54 509 	CT 54 160 
... , the ... day, eponymy of ... , governor of ... 	... , the ... day, eponymy of... , governor of ... 
The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds it.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
If the sun in ... 	If the sun ... 
Witness ... -ilu.	Witness ... 
... the land of Akkad	... the land of Akkad ... 
I captured alive Massirâ, the chief archer of Teumman, the king of the land Elam, who was stationed inside the city Ša-pī-Bēl to provide support to the land Gambulu (and) to guard Dunānu. I cut off his head (and) beat (it) against the face of Dunānu, the ally who could not save him. 	I captured alive Massirâ, the chief archer of Teumman, the king of the land Elam, who was stationed inside the city Ša-pī-Bēl to provide support to the land Gambulu (and) to guard Dunānu. I cut off his head (and) beat (it) against the face of Dunānu, the ally who could not save him.
Witness Zabdanu.	Witness Yatanu. 
Ittî, chariot driver;	NN, chariot driver;
he stole ... 	The top ... 
Witness Sipparanu, tanner of colored leather.	Witness Sin-na'id, tanner of colored leather.
17 10 ... ,	10 ... ,
... I have written to the king, my lord ... 	I have now written to the king, my lord.
... there is not ... 	... there is no ... 
The king said to the ... 	The king said: "... 
and seeks a lawsuit or litigation against Inurta-ahu-iddina,	and seeks a lawsuit or litigation against Sin-aplu-iddina and his sons,
x, 2, the commanders-of-50, the 'third men' ... ;	x, commanders-of-50 of the 'third men';
... his prosperity 	... their property
Witness ... -ereš.	Witness ... 
Witness NN, deputy priest.	Witness NN, deputy.
... upon the city gate	... the (city) gates
May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Nunaittu will listen to his prayers.	May a later prince restore it (and) return my inscribed name to its place. (Then) Aššur will listen to his prayers.
May Belet-ili, the lady of creation, cut off birth from your land; may she deprive your nurses of the cries of little children in the streets and squares.	May Belet-ili, the lady of creation, cut off birth from your land; may your nurses be deprived of the cries of little children in the streets and squares.
I have just sent to the king, my lord.	I have sent ... to the king, my lord.
Month Tebet (X), 9th day, eponym year of Zazî.	Month Elul (VI), 29th day, eponym year of Zazaya.
Between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising... 	If between the 'cap' of the lung and the 'lift of the head' of the lung a piece of flesh is ... : the sun in its rising.
... , in all an estate ... 	... , in all 9 men ... 
... before the city Ku... 	... before the king ... 
... 2 women ... 	... whom we ... 
... the city wall	... the wall
Witness Nergal-ila'i, scribe.	Witness Nergal-ašared, scribe.
A built house with its beams, and with its doors, ... 	A built house with its doors, with its beams, ... ,
The palace of Sennacherib, king of Assyria.	Tent of Sennacherib, king of Assyria.
A thigh, a shoulder, outer cuts, 2 cuts of shoulder of an ox, of the temple of Dagan — of the chief cupbearer.	A thigh, a shoulder, outer cuts; 2 cuts of shoulders, of one ox of the temple of Dagan;
... 10 sheep;	... sheep
Mannu-ki-Adad             	Man(nu)-ki-ahhe             
Witness Nabû-na'id.	Witness Issar-na'id.
of Tur... 	of ... 
Seal of ... ayu, owner of the people being given.	Seal of Sipranu, owner of the people being sold.
total, 21 minas ... 	total 7 1/2 minas ... 
If the day reaches its normal length: a reign of long days... 	If the day reaches its normal length: a reign of long days.
Remanni-Adad the chariot driver has contracted and bought it for 4 minas of silver by the mina of Carchemish.	Šumma-ilani, chariot driver, has contracted and bought them for x minas of silver by the (mina) of Carchemish
Du'ani-Issar, the ... about whom the king, my lord, wrote to me	Concerning DN-rapa' the ... , about whom the king, my lord, wrote to me
... throw ... 	... s to ... 
... and the Cimmerians	... and the Cimmerian troops
Badî;	Banî;
70 men ... 	My men ... 
I shall give to you. Wine ... 	I shall give you ... 
let them be appointed ... 	let me appoint ... 
... Nanaya ... 	... many ... 
Month of Tishri (VII), 25th day, eponym year of Arbailayu (661 B.C.).	Month Tishri (VII), 11th day, eponym year of Sagab (651).
Witness Kiṣir-Aššur, cohort commander.	Witness Nuranu, cohort commander.
Month of Tishri (VII), 7th day, eponym year of Nabû-šar-ahhešu (646 B.C.).	Month Tishri (VII), 5th day, eponym year of Nabû-šarru-uṣur.
If the moon's (horns) at its appearance are very pointed: the king will rule the land wherever he goes, variant: he will knock down wherever he wants to subdue.	If the moon's horns at its appearance are pointed: the king of Akkad will rule the land wherever he goes, variant: the king of Akkad will weaken the land wherever he intends.
I myself prayed to the deities Aššur, Sîn, Šamaš, Bēl, Nabû, Nergal, Ištar of Nineveh, (and) Ištar of Arbela, the gods who support me, for victory over (my) strong enemy and (v 10') they immediately heeded my prayers (and) came to my aid. 	I myself prayed to the deities Aššur, Sîn, Šamaš, Nergal, (... ) Ištar of Nineveh, Ištar of Arbela, Bēl, Nabû, ... the gods who support me, for victory over the army of (my) enemy and they immediately heeded my prayers (and) came to my aid.
Abu (V), the sixth day, eponymy of Nabû-šar-aḫḫēšu, governor of the land Samaria (645).	Duʾūzu (IV), the ... day, eponymy of Nabû-šar-aḫḫēšu, <gove>rnor of the city Samaria (645).
To the king, my lord: your servant, the šandabakku. May Enlil, Ninurta, and Nusku bless the king, my lord.	To the king of the lands, my lord: your servant, Illil-bani. May Enlil, Ninurta, and Nusku bless the king of the lands, my lord.
Witness Marduk-eṭir, ditto.	Witness Urdu-apli, ditto.
The money is paid completely. That field is acquired from its owner for a second time. Any revocation, lawsuit, or litigation is void.	The money is paid completely. That field is purchased and acquired. Any revocation, lawsuit, or litigation is void.
Witness Aššur-išmanni, (... ).	Witness Aššur-bel-ilani, ... 
Witness Mannu-ki-Aššur, ditto.	Witness Mannu-ki-Aššur.
For the god Marduk, his lord: Ashurbanipal, son of Esarhaddon, king of the world (and) king of Assyria had baked bricks made anew for Etemenanki.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Etemenanki.
