I brought ... and gave ... where ... 	... whom the king ... 
If an anomaly's horns are where its right and left ears (should be): the king will rule the (four) quarters.	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Dari-Bel. Witness Ṭabî, baker.	Witness ... 
Let the king, my lord, give an order to Issar-šumu-ereš about the remaining ones.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Month of Iyyar (II), 10th day, eponym year of Sargon (719 B.C.)... 	Month ... , 23rd day, eponym year of Zazaya.
... the horses ... 	Witness ... 
Eṭeri — whom Sumaya,	mention of whom is pleasant ... 
Witness Dunusu. Witness NN.	Witness ... 
of these men ... 	Witness ... 
To the king, my lord: your servant Ašipâ. Good health to the  king, my lord! May Nabû (and) Marduk bless the king, my lord.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
They did not see, we did not see; (consequently) we do not reject the (30th) day.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
If you do what is good to me,	If on the 1st day,
150 (men) of Nadinu, 120 of Hazalâ, 60 of Aplaya, x of the Suhean, x of  the Hindanean, x their reserve, in all x men of theirs who have come.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
brothers ... 	Witness ... 
If the upper part and the lower part are in equilibrium: strife. Lovers will be estranged.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu; Nusku, Ninurta; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, the Sun-image, Aššur-Lahmus, Aššur-Judges, Ea-Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta (and) Aššur; Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Ili-pada;	Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu, Ninurta, Nusku; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, Sun-image, Aššur-Lahmus, Aššur-Judges, Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta and Aššur, Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Il-pada;
Witness Danqu-dibbi-Issar, ditto.	Witness ... 
They say: "While you put your trust in the king and the chief tailor, intrigues have penetrated to the king.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Marduk-šarrani,	Witness Marduk-zeru-ibni, scribe.
adjoining the garden of Šumma-ilani,	adjoining the house of Ṣil-Nabû,
Witness NN. Witness Nargî.	Witness ... 
The 22nd: good for undertaking an enterprise;	The city Iallgu of Bīt-Adini I conquered.
If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land; the son will speak the truth with his father; universal peace.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Now I am sending you the hundurāyus. The day they arrive, give them two sets of massuku textiles at once, so that they may perform the work with them in the king's service.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Urtaku, an in-law of Teumman who had been struck by an arrow (but) had not (yet) died, called out to an Assyrian to cut off his (Urtaku’s) own head, saying “Come here (and) cut off (my) head. Carry (it) before the king, your lord, and obtain fame.”	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
This portends misfortune for the Westland. (I swear) by your gods, that Aššur, your god, will take away whatever dominance the Cimmerians have achieved and give it to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
total, of ... , for ... , who came out with them;	Month ... , 23rd day, eponym year of Zazaya.
Indeed, in the old times — until the reigns of Sargon and Sennacherib — they were shaved. This was their story; the king, my lord, may act as he prefers.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
Aššur-matu-taqqin, ... of the palace superintendent of the queen.	... ditto, ditto, the front red, of the port; 4 ... ;
x male goats, 30 female goats, 	3 litres of bread, 2 litres per day,
You wrote ... 	Witness ... 
To the king, my lord: your servant Nabû-eṭiranni. 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The exorcists who go in front of him reciting an incantation, are his people; they go wailing in front of him. 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people and made light shine forth for them; to whom the <great> gods gave as a gift (the ability) to create, build, (and) renew; the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... with you ... 	Witness ... 
Now then I’m writing to the king, my lord: 	... whom the king ... 
At that time the temple of the goddess Ištar, mistress of Nineveh, my mistress, which Šamšī-Adad (I), the king, my predecessor, had previously built (and which, when) it became dilapidated, Aššur-uballiṭ (I), my forefather, later restored — that temple had been damaged in an earthquake and was in ruin. I cleared away (the debris) entirely and reconstructed its weakened portions. I rebuilt the fallen sections from top to bottom. I restored (and) returned to their places the clay inscriptions of Aššur-uballiṭ (I) and deposited my clay inscriptions.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness Nergal-duri.	Witness ... 
He shall enjoy it for three crop years and 3 fallow years, in all 6 years.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
Go up and ... 	Witness ... 
... s 1 seah 1 litre of oil. Total 5 seahs 5 litres of honey	... is present. The left of the gall bladder is attached.
... , his wife, his 2 sons, his daughter ... 	Witness Ubru-Issar, servant of ... 
... ; adjoining the king's road from Kubanaše to Aridi;	adjoining the house of Ṣil-Nabû,
I placed crossbeams on tall cedar columns (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black (and) blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch (and) a vault like a rainbow. I embedded nails of pure silver and shining bronze in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord,  (the deeds) that I had accomplished in enemy lands.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Month ... , 18th day	... we captured
... Raḫiānu (Rezin) ... 	Witness ... 
on foot ... 	Witness ... 
A tablet of Aššur-nirka-da''in to my brother Nabû-nammir. The  best of health to my brother!	To the king, my lord: your servant NN. Good health to the king, my lord!
The 13th is a propitious day; let them perform it.	Disregard that an unclean person has performed extispicy in this place... 
This 5th day of Kanun (X) belongs to Talmusu. Nothing has been brought; no one came. Nevertheless for the sake of the life of the king, my lord, I have performed and presented every sacrifice before Aššur and the gods of the king, my lord.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
the strong man who is clad in awesome splendor (and) whose weapons are raised to strike down (his) enemies; who brought about the defeat of Ḫumbanigaš (Ḫumban-nikaš I), the Elamite; who subjugated the lands Mannea, Karalla, Andia, (and) Zikirtu, the cities of Kišesim (and) Ḫarḫar, (and) the lands Media (and) Ellipi; (15) who imposed the yoke of (the god) Aššur (upon them); who laid waste to the land Urarṭu (and) the city Muṣaṣir; in great fear of whom Ursâ (Rusâ), the Urarṭian, brought an end to his life with his own weapon; who carried off as booty the rulers of the city Carchemish, the land Hamath, the land Kummuḫu, (and) the city Ashdod — evil Hittites, who do not fear the words of the gods (and always) speak treachery; who (20) set eunuchs of his as provincial governors over all their lands and considered them as people of Assyria; who overwhelmed the city Samaria, all of the land Bīt-Ḫumria (Israel), (and) the land Kasku; who conquered the land Tabal, all of the land Bīt-Purutaš, (and) the land Ḫilakku; who brought about the defeat of Egypt at the city Raphia and counted Ḫanūnu (Hanno), the king of the city Gaza, as booty;	(As for) the citizens of (the cities) Sippar, Nippur, Babylon, (and) Borsippa who through no fault of their own had been held captive in them, I put an end to their imprisonment and let them see the light (of day). (With regard to) their fields, which long ago, while the land was in disorder, the Sutians had taken away and appropriated for their own — I struck down (those) Sutians, the people of the steppe, with the sword. I restored to their former status their territories, (whose boundaries) had been forgotten (and) fallen into disuse during the troubled period in the land. I (re)-established the freedom (from obligations) of (the cities) Ur, Uruk, Eridu, Larsa, Kullaba, Kissik, (and) Nēmed-Laguda. Moreover, I returned their gods that had been carried off as booty to their cult centers and I restored their regular offerings that had been discontinued.
If ... , I shall go to ... 	... whom the king ... 
The king knows that I am not provided for here; I have no house and no slave. And the 'son' of Dakkuru has destroyed my records which I had deposited with my mother and my brothers in Babylon. (Thus) I am doubly troubled.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
In the base of the middle surface of the 'finger' there is a 'weapon'-mark facing the base of the 'finger.' The 'weapon'-mark of the 'increment' rises toward the left. The upper part ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
                                  Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 	Disregard that an unclean person has performed extispicy in this place... 
... return the temple slave	... we captured
... Nergal-abu-... 	... we captured
Witness ... didi.	Witness ... 
NN (said): "Let me go to ... ;" but NN held him back, saying, "You will go ... with me."	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
If the moon is slow in its course: the harvest of the land will prosper.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
a flask of mēzu-wine; a flask of lā'u-wine.	A flask of mēzu-wine; a flask of lā'u-wine.
Concerning the watch about which the king, my lord, wrote to me, neither the moon nor the eclipse were seen. May they appoint a guardian of health and life for the king, my lord!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I conquered the rebellious and insubmissive Šubaru. I imposed the heavy yoke of my dominion upon the lands Alzu and Purulumzu which had abandoned (the practice of paying) tribute and tax so that annually they send tribute and tax (ii 95) into my presence at my city Aššur. As soon as with my valor, by means of which the god Aššur, my lord, had placed in my hand the strong weapon which subdues the insubmissive, (ii 100) he commanded me to extend the border of his land, 4,000 Kasku (and) Urumu, insubmissive troops of Ḫatti — who had seized by force (iii 1) the cities of the land Šubartu which were vassals of the god Aššur, my lord — heard of my coming to the land Šubartu. The splendor of my valor overwhelmed them and, fearing battle, they submitted to me. I took them, together with their property and 120 chariots (and) harnessed horses, and regarded them as people of my land.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Balihû, son of Marduk, son of Babu-ereš; family of the house of Bel-eṭira; his paternal house faces the Gate of the Entry of the goddess Gula.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... writing board of the temple of the god Sîn of the city Ḫarrān.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
In  the  top  of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, or has touched the (libation) beer, the maṣhatu flour, the water, the pot, or the fire... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Further, "I have personally sold four camels to the eunuch Nabû-epuš."	Disregard that an unclean person has performed extispicy in this place... 
Witness Ša-la-mašê, mayor.	Witness ... 
Now then one shepherd has come to me to Calah. He has acted as an informer.	Disregard that an unclean person has performed extispicy in this place... 
As to the work that you and the Assyrians, your brothers, have done, concerning which you wrote, it is good that you did so and kept watch for me.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Month ... , 11th day, eponym year of Adad-šarru-uṣur, governor of Marqasi.	Month ... , 23rd day, eponym year of Zazaya.
10 good ... s, ... s ... 	... whom the king ... 
These fields, buildings and people Tiglath-Pileser (III), king of Assyria, exempted (from taxes) and gave to NN.	The forts and the land of the king, my lord, are well.
If the moon is surrounded by a halo, and Regulus stands in it: pregnant women will give birth to male children.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
(... ), the servant who reveres him, prayerful, obedient, who is constantly attentive for his (Marduk’s) appearance, did not cease praying until he (Marduk) had made him obtain his heart’s desire.	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
Witness ... uni.	Witness ... 
I gathered the bought people who had become slaves (and) who had been distributed among the (foreign) riffraff and counted (them once again) as Babylonians. I returned their looted possessions, provided the naked with clothing, (and) let them take the road to Babylon. I encouraged them to (re)settle the city, build houses, plant orchards, (and) dig canals. 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Ever since the day when ... the word ... , I have been very afraid ... 	Disregard that an unclean person has performed extispicy in this place... 
1 wooden stool of boxwood, of the residence;	... ditto, ditto, the front red, of the port; 4 ... ;
side ... 	Witness ... 
NN, his servant, Zakiru —	Witness Ubru-Issar, servant of ... 
Neš-ili-mati, Neš-igigani, the Steps and the Lahmus of the Eastern Gate; Nusku, the Bull-Son-of-Šamaš and the Judges behind (the God);	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
in cultivation ... 	Witness ... 
Witness Tariba-Issar, cook.	Witness ... 
Whoever in the future, and at any time, whether Nabû-malik and Šumma-ilu, or their sons, grandsons and brothers, or their prefect and the mayor of their city,	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The kallāpu messenger ... 	Witness ... 
May Aššur, Bel, Nabû and Šamaš bless the king, my lord! May they give life of distant days, old age and fullness of life to the king, my lord!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
the troops of Assurbanipal, king of Assyria,	The town of ... uinna, a district in the charge of NN.
x sheep, served hot;	... we arrived
A messenger of Urzana, king of Muṣaṣir, and a messenger of Arizâ have come to me	The town of ... uinna, a district in the charge of NN.
The poplar is his body.	The day (means) the sun. 
Month Nisan (I), eponym year of Iddin-ahhe of Ṣimirra.	Month ... , 23rd day, eponym year of Zazaya.
An extispicy was made concerning Bel-labria: “... ” 	they should intercalate ... 
The gods Bēl (and) Anu entrusted to you the distant mountains.	The day (means) the sun. 
... is good for ... has returned here; as for you, stand by. Kunâ has ... all their troops. 	Disregard that an unclean person has performed extispicy in this place... 
On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, (iv 20) Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — I had my camp pitched at the foot of Mount Nipur. 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... where ... stands ... the days of the ruler will be long... an eclipse ... passed.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
... Partakanu;	... we captured
Witness NN, weaver.	Witness ... 
... goldsmiths	... whom the king ... 
By the mouth of the woman Ilussa-amur of the Inner City.	... ditto, ditto, the front red, of the port; 4 ... ;
If the moon becomes visible in Adar (XII) on the 30th day: there will be an eclipse of the sun.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... happiness ... 	Witness ... 
... from the fort ... to the other side of the river ... there are no men with me. They have been delayed in the country.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
and the rest ... 	Witness ... 
Just as this waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... with the favours	... we captured
x minas, of Se'-ma'adi;	4 minas ... ;
When there was an epidemic here, Ilu-bi'di a cohort commander of the ... under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you the money." Now this Ilu-bi'di has died; his wife, as the king knows,  has married a young boy and that person has been serving under me as a cook.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
As for their junior sons, they are apprentices, incapable of doing any (serious) work; it is not within their understanding. They just carry chests after them.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
(Concerning) what you wrote, "Give Arrabatu to Qallatu!" — Binitu, Tu'atu, Huluttu and Arrabatu (already) are at her disposal. Why did you during these 8 years think of Arrabatu (only now)?	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
... just as the king, my lord, wrote to me, he showed it to me, saying: "There is no gold here; they have diminished the  ... "	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Bless Aššur-etelli-ilani, the giver of this (ceremonial) feeding, O Aššur! 	The blessings for the gods who dwell in Assyria. 
Tamluti, NN, NN,	Kalu, Pulî, 
(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, the lapis lazuli mountain, (and) upon the soil of whose land none of the kings, my ancestors, had walked —  I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, (i' 10') who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, (and) Bactrian camels, their heavy plunder. 	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
May they take bread away from your land in the same manner as gold.	To the king, my lord: your servant NN. Good health to the king, my lord!
All the same, the horses have been heavily pressed; the foals should rest out.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
Se'-aqabi, gate-guard; 1 woman; Ilu-aqabi, herdsman of cattle and donkeys;	One litre for the pandugāni ceremony of the king; one litre  ... 
Bel-lamur, Adad-belu-uṣur, Inurta-le'i ... , NN	Witness Adad-ereš, from ... 
For the god Enlil, (... ) his lord: Ashurbanipal, king of the world, king of Assyria, (... ) king of the four quarters (of the world), had (this) (... ) built for the sake of his life.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
The gaddāyus daily give 6 bundles (of ... ) for 5 days of  intercalary Adar (XIIa). The guards of the wells under the prefect of  Assur give three homers of bitumen according to its tablet. The  potters give ... of clay according to its tablet. The ... of the lower  gardens give three litres of coriander, 1 litre of fresh samēdu-plant and ... to the bakers of the temple. 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
To the king, my lord: your servant, Nabu-kudurri-uṣur. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... and tell it to the king.	... whom the king ... 
To the king, my lord: your servant Ikkaru. The very best of health to the king, my lord! May Nabû and Marduk bless the king, my lord! May Bel, Nabû and the Lady of Life give happiness and physical well-being to the king, my lord!	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
It will increase by a fourth; he shall pay in Kislev (IX).	Disregard that an unclean person has performed extispicy in this place... 
in all 80 hectares of land in cultivation by the copper seah of 9 'litres.'	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
The length of the sideboard is six and two-thirds cubits, measured by the royal cubit. The frontpiece is three and one-third cubits, measured by the royal cubit. (There are) twelve gold platings on the side of the bed; (iii 20') six ditto (= gold platings) on the side. (There is) a ... mušḫuššu-dragon on top of the sidewalls. The matress (has) a nalbattu-form that has ... of pappardilû-stones, (and) ḫašḫur-api (ornaments) of obsidian, carnelian, (and) lapis-lazuli arranged around (it). The lower matress is gold (and) water is ... on (it). The legs are lamassu-figures. Beneath the lamassu-figures a ... claw(-shaped ornament). (iii 25') There are eight lamassu-figures on the two rungs of the sides. (There is) one lamassu-figure on each ... (... ). Water surrounds lamassu-figures ... The rungs are ... with water. The leg(s) of the bed are one and two-thirds cubits, measured by the royal cubit.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
the ... of the caravan brought.	... we arrived
owner of the field being sold.	... whom the king ... 
Witness Issar-tariba.	Witness ... 
The emissary from Que ... is departing and going ... the Bow River; the ... of the Commander-in-Chief is with him.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
I.e., on the 14th day the moon and the sun are seen together.	Disregard that an unclean person has performed extispicy in this place... 
... May the king, my lord ask NN and ... parri.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
While he is finishing his libations, the singer intones, “May he become pure.” He stops (libating) and opens the vat. The singer intones, “... ”	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
x ... of silver ... belonging to Gallulu, at the disposal of Šepe-Issar, sailor.	The town of ... uinna, a district in the charge of NN.
(and whether) they, be it by force, or by ... , or by whatever means of conquering a city, will conquer that city, and annex it?	Just as bread and wine enter into your intestines, (so)  may they (= the gods) make this (oath) enter into your intestines and  into those of your sons and your daughters.
Witness Gilgameš-edašu-šakšid.	Witness ... 
... in accordance with ... 	Witness ... 
May he constantly exercise the rule over the people who are of privileged status (and have) šubarrû-privileges (granted) by the great gods. (ii 30) During his reign may those ones with šubarrû-privileges not become disordered. May he take away their negligence and erase their sin. Let turmoil be anathema to them (ii 35) (and) may he make their heart(s) rejoice. Like the foundations of Uruk and Eanna, may their foundations be firm.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
An eclipse (of the moon) occurred on the 14th of Sivan (III),  during the morning watch.	Disregard that a clean or an unclean person has touched the sacrificial sheep, or blocked the way of the sacrificial sheep... 
Witness Ea-lešir.	Witness ... 
Witness NN, (city) scribe of Arrapha.	Witness Ubru-Issar, servant of ... 
Witness Nabutî, cohort commander of the weavers.	Witness Ubru-Issar, servant of ... 
As to the ungelded bulls of which the king, my lord, spoke, I am now choosing them.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
which ... twice/into two.	... we captured
1, treasurer;	... we captured
and he ... 	Witness ... 
The evening watch means Akkad; Sivan (III) means the Westland; the 14th day means Elam; ... the Westland.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
