x talents, Sam'al;	x talents, the manager of the Review Palace;
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks (and) date palm(s) placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
... citizens of Babylon,	... to a citizen of Babylon
... , ditto, the front red;	... ditto, ditto, the front red, of the port; 4 ... ;
... so there is no fear ... 	As to ... about which the king my lord wrote to me, what else  should we do? There is no danger ... 
Aššur, Šamaš, and Marduk have granted to the king my lord a stable throne forever, for long days.	Aššur, Šamaš, Nabû, and Marduk have granted a stable throne forever, for long days, to the king my lord.
Say to NN: thus says the king:	Say to Amurru-šumu-iškun: thus says the king:
... they are building ... 	The ... are cleansing the ... in the presence of the governor; they will be ready this very moment. The ... who are wiping ... 
Gada', royal bodyguard;	Remanni-Adad, royal bodyguard;
... 2 brick-courses laid	... 1 brick-course remaining, they shall glaze the bricks.
... The 'weapon'-mark of the 'increment' is elevated to the left ... 	The 'weapon'-mark of the 'increment' rises toward the left. The upper part is elevated. The base of the middle part is 'loose.' The breast-bone is thick. The coils of the colon are 16 in number... 
... tubes, 6 ... ,	... tables, ... , one litre of vegetables ... , one litre of ... s, one litre of pears, x (loaves of) huhhurtu-bread, five cuts of mutton, one-fifth of ... meat of fish and birds, candy, fruit. 
he shall pay double the silver.	He shall pay the silver on the 20th day.
Witness Nusku-iddina.	Witness Mannu-ki-metina. Witness Ahu-iddina.
When they came ... , we inflicted a defeat on them.	my ... inflicted a defeat on them, and led away their spoil, ... their cattle and sheep... cities within the vicinity they devastated, destroyed and burned."
Witness Dagan-milki.	Witness Sara-il.
3 towers, the beams fixed	3/4 of the gateway; 5 towers, the loose beams fixed; 1 gutter, not completed,
At that time the ... of the city Taidu had become dilapidated and I removed its debris. I restored it. I rebuilt (it) from top to bottom and deposited my monumental inscriptions.	At that time the rooms of my great palace on the east side of my city, Aššur, in front of the great ziggurrat of the god Aššur, my lord, which previously Shalmaneser (I), appointee of the god Enlil, vice-regent of Aššur, my father, had built, had become dilapidated and I removed its debris down to the bottom of the foundation pit. I completed it from top to bottom and deposited my monumental inscription.
There is a hole in the right of the 'pouch.'	There is a hole in the top of the 'station.' The 'path' has a bifurcation towards the right... 
I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom the god Sîn nominated in distant days, while (he was) in the womb of his mother, for shepherding Assyria and (the one for whom) the gods Šamaš (and) Adad declared the exercising of its kingship through their firm decision(s) —	I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom (the god) Aššur and the god Sîn — the lord of the (lunar) crown — nominated in distant days to be king (i 5) and created in the womb of his mother for shepherding Assyria, (and the one for whom) the deities Šamaš, Adad, and Ištar declared my exercising the kingship through their firm decision(s) —
If he does not give, it shall increase by the same amount.	(If) he does not pay, it shall increase by 5 seahs per homer.
If Scorpius' horns at its appearance are twisted: the enemy will attack, but fall in battle.	If the horns of Scorpius are twisted: the enemy will attack but fall in battle.
Witness Nabû-sagib.	Witness Nabû-zeru-... 
The god Enlil saw ... and his heart became angry (and) his mood became furious. The Enlil of the gods, the lord of the lands, plotted evilly to scatter the land and people; to level the land and to destroy its people, his heart was angry. A bitter curse was placed in his mouth. 	... His mood became furious. The Enlil of the gods, the lord of the lands, plotted evilly to scatter the land and people; his heart schemed to level the land and to destroy its people. A bitter curse was set in his mouth. 
in all, 9: the 'residences' of the Huhamaeans.	in all, x: the 'residences' beneath the Window.
Remnants ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
Concerning the raven about which the king, my lord, wrote to me, (here are the relevant omens):	Concerning the guard about whom the king, my lord, wrote to me, whom the servants of the king my lord have hired, he will depart tomorrow.
I, Sîn-šarra-iškun, great king, strong king, king of the world, king of Assyria; son of Ashurbanipal, great king, strong king, king of the world, king of Assyria, king of the land of Sumer and Akkad, king of the four quarters (of the world); son of Esarhaddon, great king, strong king, king of the world, king of Assyria, (5) governor of Babylon, king of the land of Sumer and Akkad; son of Sennacherib, great king, strong king, king of the world, king of Assyria, unrivalled prince; descendant of Sargon (II), great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; (10) the one who renovates the chapels of the temple of the god Nabû, that is inside Baltil (Aššur): I repaired its enclosed courtyard (lit. “that enclosed courtyard”) with baked bricks, the craft of the deity Nunurra.	son of Ashurbanipal, great king, strong king, king of the world, king of Assyria, king of the land of Sumer and Akkad, king of the four quarters (of the world); son of Esarhaddon, great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; son of Sennacherib, great king, strong king, king of the world, king of Assyria, unrivalled prince; descendant of Sargon (II), great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; ... , pious prince, capable governor, beloved of the god Nabû and the goddess Tašmētu ... 
Month of Iyyar (II), 10th day, eponym year of Sargon (719 B.C.)... 	Month Iyyar (II), 6th day, eponym year of NN.
... the horses ... 	... wherever he goes ... 
Witness Dunusu. Witness NN.	Witness Ikkaru. Witness Nabû-le'i.
of these men ... 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
To the king, my lord: your servant Ašipâ. Good health to the  king, my lord! May Nabû (and) Marduk bless the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
If you do what is good to me,	and do what is good to me.
If the upper part and the lower part are in equilibrium: strife. Lovers will be estranged.	... If the upper and the lower part are in equilibrium: strife. Lovers will be estranged... 
If the moon and sun are in balance: the land will become stable; reliable speech will be placed in the mouth of people.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu; Nusku, Ninurta; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, the Sun-image, Aššur-Lahmus, Aššur-Judges, Ea-Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta (and) Aššur; Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Ili-pada;	Aššur-Enlil; Mašmaš; Aššur-Adad in front of Aššur-dugul; Aššur-Adad in front of Aššur-Conqueror; Enlil-Anu; Ea-šarru; Sîn, Adad, Šamaš; Ištar, the Queen of Heaven of Kar-Tukulti-Ninurta, Šerua; the Great Gods; Tašmetu, Ninurta, Nusku; Kippat-mati, Kippat-mati-image, Kutatati; Enlil, Dagan, Aššur-Tiara, Sun-image, Aššur-Lahmus, Aššur-Judges, Kittu, Sîn, Šamaš, Aššur-Conqueror; Ea, Kittu (and) Mišaru, Dibar; Ninurta and Aššur, Aššur-Šakkan-Tišpak, Aššur-Judges; Lubelim, Gimagan, Il-pada;
Witness Danqu-dibbi-Issar, ditto.	Witness Mannu-ki-Harran, ditto.
adjoining the garden of Šumma-ilani,	A vacant lot adjoining Nurtî, a garden, an estate of 1 hectare 6 decares of land in the town of Bit-Dagan, adjoining the garden of Arbailayu, (the estate of) Qurdi-Issar, the canal of Adian, and (the estate) of Bel-taklak —
Witness NN. Witness Nargî.	Witness Ikkaru. Witness Nabû-le'i.
The 22nd: good for undertaking an enterprise;	The favourable days about which the king, my lord, spoke are: the 10th, the 15th, the 16th, the 18th, the 20th, the 22nd, the 24th and the 26th, altogether 8 days of the month Iyyar (II) which are good for undertaking an enterprise and revering the gods.
If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land; the son will speak the truth with his father; universal peace.	If the moon reaches the sun and follows it closely, and one horn meets the other: there will be truth in the land, and the son will speak the truth with his father.
You wrote ... 	You put ... 
The exorcists who go in front of him reciting an incantation, are his people; they go wailing in front of him. 	The exorcists, who go in front of him reciting an incantation, are his people; they go wailing in front of him. 
Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people and made light shine forth for them; to whom the <great> gods gave as a gift (the ability) to create, build, (and) renew; the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.	Esarhaddon, great king, mighty king, king of the world, king of Assyria, governor of Babylon, king of Sumer and Akkad, the true shepherd who reorganized the confused people (and) made light shine forth for them; to whom the great gods gave as a gift (the ability) to create, build, (and) renew; (5) the one who (re)constructed the temple of the god Aššur, (re)built Esagil and Babylon, completed all of the cult centers, renewed the statues of the great gods, (and) who returned the plundered gods of the lands to their (proper) place from Assyria; who plated Egašankalama, the temple of the goddess Ištar of Arbela, his lady, with silver (zaḫalû) and made (it) shine like daylight — I had lions, screaming anzû-birds, laḫmu-monsters, (and) kurību-genii fashioned from silver and copper and set (them) up in its entry doors.
... with you ... 	... who ... 
Now then I’m writing to the king, my lord: 	Now then I am sending to the king, my lord, the letter of Naṣibi that came to Nabû-iqiša.
Witness Nergal-duri.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
He shall enjoy it for three crop years and 3 fallow years, in all 6 years.	He shall enjoy the field for 3 crop years and 3 fallow years, in all 6 years.
Go up and ... 	... two bull colossi of white limestone ... the gate of that watercourse, I had erected... the strong wave and wild tide that rise up and ... canal(s), dike(s), and irrigation ditch(es) eroded their bank(s) and ... when there was breach, harvests were submerged ... I had magnificent ... s of iron made and ... the outflow of water ... when its flood was in full spate ... 
... , his wife, his 2 sons, his daughter ... 	the woman Su... , his wife, his two sons, his daughter, a total of 5; NN, his wife, his two sons, a total of 4;
I placed crossbeams on tall cedar columns (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black (and) blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch (and) a vault like a rainbow. I embedded nails of pure silver and shining bronze in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord,  (the deeds) that I had accomplished in enemy lands.	I placed crossbeams on large copper columns (and) tall cedar columns, (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black and blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch and a vault like a rainbow. I embedded nails of silver, gold, and shining copper in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord, (and) the deeds that I had accomplished in enemy lands. 
... Raḫiānu (Rezin) ... 	Mitinti of the land Ashkelon neglected the loyalty oath (sworn by) the great gods (... and) revolted against me. He (Mitinti) saw the defeat of Raḫiānu (Rezin) and became afraid, ... (15') He was stricken with panic ... Rūkibtu, the son of ... , ascended his throne.
on foot ... 	The town of ... uinna, a district in the charge of NN.
A tablet of Aššur-nirka-da''in to my brother Nabû-nammir. The  best of health to my brother!	A tablet of Šamaš-šumu-ukin to the king, my brother: The best of health to my brother! May Bel, Beltiya, Nabû, Tašmetu and Nanaya bless my brother. 
If ... , I shall go to ... 	... I shall give ... 
In the base of the middle surface of the 'finger' there is a 'weapon'-mark facing the base of the 'finger.' The 'weapon'-mark of the 'increment' rises toward the left. The upper part ... 	In the base of the middle surface of the 'finger' there is a 'weapon'-mark ... The 'weapon'-mark of the 'increment' rises towards the left. The upper part is elevated. The base of the middle part is 'loose.'             
                                  Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 	Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 
... return the temple slave	Now then I have written to open your ears; be extremely attentive. See how Aššur and Mullissu, my gods, ... from his hands whatever he concocted with his heart, until he returns to the temples
... Nergal-abu-... 	... Nabû-aplu-... , his servant
Witness ... didi.	Witness ... 
NN (said): "Let me go to ... ;" but NN held him back, saying, "You will go ... with me."	NN said, "Let me go to ... ," but NN held him back, saying, "You will go ... with me."
a flask of mēzu-wine; a flask of lā'u-wine.	A flask of mēzu-wine; a flask of lā'u-wine.
In  the  top  of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             	The top of the left surface of the 'finger' drags towards the area of the 'finger.' ... 
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, or has touched the (libation) beer, the maṣhatu flour, the water, the pot, or the fire... 	Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, has eaten, drunk, or anointed himself with anything unclean, (or) has altered or changed the proceedings... 
Witness Ša-la-mašê, mayor.	Witness Babilayu, mayor.
Month ... , 11th day, eponym year of Adad-šarru-uṣur, governor of Marqasi.	Month ... , 27th day, eponym year of Šulmu-šarri, governor of Halziatbar.
10 good ... s, ... s ... 	1 golden ... , 1 ... , ... golden ... 
These fields, buildings and people Tiglath-Pileser (III), king of Assyria, exempted (from taxes) and gave to NN.	These fields, orchards and people Adad-nerari (III), king of Assyria, exempted (from taxes) and gave to NN, his eunuch as a grant.
If the moon is surrounded by a halo, and Regulus stands in it: pregnant women will give birth to male children.	If the moon is surrounded by a halo, and the sun stands in it: there will be truth in the land; the son will speak the truth with his father.
Witness ... uni.	Witness ... 
NN, his servant, Zakiru —	NN, his servant,
Witness Tariba-Issar, cook.	Witness Šar-Issar, rab dayāli.
The kallāpu messenger ... 	The messengers ... 
the troops of Assurbanipal, king of Assyria,	If we should transgress, break, erase, or ... this treaty with Assurbanipal, king of Assyria, our lord,
x sheep, served hot;	20 turtledoves, served hot;
The poplar is his body.	The cat is his blood. Oak is his arms.
Month Nisan (I), eponym year of Iddin-ahhe of Ṣimirra.	Month Nisan (I), eponym year of Iddin-ahhe, governor of Dur-Šarruken.
An extispicy was made concerning Bel-labria: “... ” 	As for the ox and sheep offerings (sacrificed) on the brazier of the House of Aššur with the sheep offerings of Shebat (XI) and Adar (XII), to offer them with the sheep offerings is unfavourable. They shall be offered with the evening sacrifice offered with the cooked meat. An extispicy was made concerning the brazier of the God and it was favourable. 
On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, (iv 20) Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — I had my camp pitched at the foot of Mount Nipur. 	On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — (iii 5'') I had my camp pitched at the foot of Mount Nipur. 
Witness NN, weaver.	Witness NN, chariot driver.
... goldsmiths	Witness Abi-yasubu, son of Samunu-iatuni, goldsmith.
If the moon becomes visible in Adar (XII) on the 30th day: there will be an eclipse of the sun.	If the moon becomes visible on the 30th day: there will be frost, variant: there will be rumor of an enemy in the land.
and the rest ... 	Concerning ... from Tabal and Que about whom they wrote to me  from the Palace - let Aššur, Bel (and) Nabû come into the presence of the king as soon as they lay their ... in Ṭurušpâ and their ... s from ... are visiting  the crown prince in Assyria.
Just as this waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!	Just as (this) waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!
... with the favours	perfect offspring of the god Nunamnir, honored son, offspring of the princess of the gods, the goddess Erua, ... of Esagil, lord of everything, victorious, beloved of the god Marduk, ... of the god Asari, eldest son, foremost, the one who goes in front, the one who ... with the father who begat him ... judge of the gods, king of the great gods, the one who is resplendent in the east and in the west, ... of the gods, his own counsellor, the one who accepts entreaties (and) hearkens to supplications, one who has broad understanding, ... , the one to whose venerable command the Igīgū gods submit themselves humbly (and) the Anunnakū gods ... clad in a holy awe-inspiring sheen, garbed in terrifying splendor, filled with fearfulness, ... established judgment and the Sibitti gods do not ... 
When there was an epidemic here, Ilu-bi'di a cohort commander of the ... under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you the money." Now this Ilu-bi'di has died; his wife, as the king knows,  has married a young boy and that person has been serving under me as a cook.	When there was an epidemic here, Ilu-bi'di a cohort commander under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you money." (Now this) Ilu-bi'di has died; his wife, has married ... , a young boy, and that person has been serving under me as a cook.
Tamluti, NN, NN,	Nabû-ušabši, NN, NN,
(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, the lapis lazuli mountain, (and) upon the soil of whose land none of the kings, my ancestors, had walked —  I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, (i' 10') who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, (and) Bactrian camels, their heavy plunder. 	The one who crushed the Barnaki, a dangerous enemy, who live in the city Tīl-Ašurri, which is called Pitānu in the language of the people of the land Miḫrānu; (30) the one who scattered the Mannean people, undisciplined Gutians — (as for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, (and) upon the soil of whose land none of the kings, my ancestors, had walked, I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, who were not submissive to (my) yoke, together with their people (and) their heavy plunder.
To the king, my lord: your servant, Nabu-kudurri-uṣur. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
... and tell it to the king.	We did not perform the ... we will write to the king, our lord, concerning the final accounting of the ... 
To the king, my lord: your servant Ikkaru. The very best of health to the king, my lord! May Nabû and Marduk bless the king, my lord! May Bel, Nabû and the Lady of Life give happiness and physical well-being to the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
in all 80 hectares of land in cultivation by the copper seah of 9 'litres.'	An estate of x hectares of field in cultivation by the seah of 7 'litres' by the ... 'litre'.
Witness Issar-tariba.	Witness Issar-na'id.
The emissary from Que ... is departing and going ... the Bow River; the ... of the Commander-in-Chief is with him.	The emissary from Que ... is departing and going to the city of Zabban; the ... of the commander-in-chief is with him.
I.e., on the 14th day the moon and the sun are seen together.	If on the 14th day the moon and sun are seen together: the speech of the land will become reliable; the land will become happy; the king will become happy; the gods will remember Akkad favorably; there will be joy among people; the cattle of Akkad will lie in the steppe undisturbed.
... May the king, my lord ask NN and ... parri.	... the king, my lord, said ... 
... in accordance with ... 	Is the killing, plundering (or) looting of Ša-Nabû-šû, chief eunuch of Esarhaddon, king of Assyria, who is on a mission in Egypt, decreed and confirmed in accordance with the command of your great divinity, Šamaš, great lord? Will he who can see, see it? Will he who can hear, hear it?
May he constantly exercise the rule over the people who are of privileged status (and have) šubarrû-privileges (granted) by the great gods. (ii 30) During his reign may those ones with šubarrû-privileges not become disordered. May he take away their negligence and erase their sin. Let turmoil be anathema to them (ii 35) (and) may he make their heart(s) rejoice. Like the foundations of Uruk and Eanna, may their foundations be firm.	May he exercise the rule over the people who are of privileged status (and) freed from taxation by the great gods! During his reign may those ones freed from taxation not be in disorder! May he decrease their negligence and may he remove their sin! Let turmoil be unknown to them (and) may he make their heart(s) rejoice! Like the foundations of Uruk and Eanna, may their foundations be firm!
An eclipse (of the moon) occurred on the 14th of Sivan (III),  during the morning watch.	A lunar eclipse took place on the 14th of Sivan (III), during the morning watch. It started in the south (of the moon) and cleared up in the south. Its right side was eclipsed.
Witness Ea-lešir.	Witness Ikkaru. Witness Nabû-le'i.
Witness NN, (city) scribe of Arrapha.	Witness NN, scribe of the crown prince.
Witness Nabutî, cohort commander of the weavers.	Witness Agru, cohort commander of ša šēpi guard. Ubru-Nabû.
1, treasurer;	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
The evening watch means Akkad; Sivan (III) means the Westland; the 14th day means Elam; ... the Westland.	The term (for the portent) of an eclipse in the evening watch is 3 months and 10 days. Sivan (means) the Westland, the 14th day (means) Elam, the evening watch (means) Akkad; ... for the king, it (means) well-being.
(Property) of Ninurta-nādin-šumi, king of the world, king of Babylon, king of Sumer (and) Akkad.	(Property) of Marduk-nādin-aḫḫē, king of the world, king of Babylon, king of Sumer (and) Akkad.
Month Sivan (III), 1st day, eponym year of Nabû-da''inanni, governor of Que.	Month Sivan (III), 2nd day, eponym year of Nabû-kenu-uṣur, governor of Samaria.
... will see, hither ... 	... fills their ... 
The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and he made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (10) (and) he put in my hand a merciless rod to fell enemies. He made rulers of the four quarters (of the world), from east to west, bow down at my feet and they (now) pull my yoke.	The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (and) he put in my hand a merciless rod to fell enemies.
total, the prefect of ... 	I removed ... into the presence of ... 
I appointed him as the ... 	 I appointed him to the service of Nagâ, another cohort commander. He did not agree to this but said: "I shall serve in my own community." I am now sending his prefect (and) Nagâ with my 'third man' to the king my lord; let the king, my lord, settle (the matter).
If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; the Westland will become smaller.	If the moon is surrounded by a halo and Mars stands in it: destruction of cattle and wild animals; the kor-measure will decrease; date plantations will not prosper; the Westland will become small.
I ordered archers, chariots, (and) horses of my royal contingent to confront (10') the king of the land Elam. They killed many of his troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the god Šamaš of Larsa (and) the goddess the Lady of Uruk, the gods living inside it, together with their property (and) possessions, which are without number. 	I ordered archers, chariots, (and) horses of my royal contingent to confront (30) the king of the land Elam. They killed many troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the deities Šamaš of Larsa, the Lady of the Rēš-Temple, the Lady of Uruk, Nanāya, Uṣur-amāssa, Bēlet-balāṭi, Kurunam, Kaššītu, (and) Palil, the gods who live in Uruk, together with their property (and) possessions, which are without number. 
in the town ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —	A tower (and) an estate of 10 hectares of land in the midst of a meadow in the town of ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —
... is  present. The 'strength' is absent. The left of the gall bladder is attached... of the 'finger' is split. In the top ... 	The middle of the 'station' is effaced. The 'path' is present. The 'strength' is present. The left of the gall bladder is attached. The 'finger' is thick ... 
I have not seen ... As to ... 	I have not seen ... in Nineveh. The king, my lord, can be glad. May the king, my lord, say: "... "; may the king, my lord, not say: "... "!
he shall bear the liability for ... 	I will bear the responsibility for ... 
... among these men	among the medlar(s) ... 
... who go there	... whom the king ... 
... well being sold.	Seal of ... , owner of the ... being sold.
                 came                                           	(               Break               )             
The courtyard of the Ešuburanna ... 	(builder) of the courtyard of the palace ... 
in all, 74 people, deportees	 in all, 29 people, deportees.
Should Assurbanipal, king of Assyria, your creature, appoint the man whose name is  written in this oblong tablet and placed before your great divinity, to the office of the royal delegate in the temple of ... in the Inner City?	Should Assurbanipal, king of Assyria, appoint the man whose name is written in this oblong tablet and placed before your great divinity, to the priesthood of Anu in the Inner City?
... which frighten ... 	... of the bed which in ... 
Arbayu, governor;	... the one who raised the downfallen, avenger of ... capable ... , the one who provides pleasant protection over the people am I; son of Sennacherib, great king, mighty king, king of the world, king of Assyria; descendant of Sargon (II), king of Assyria, governor of Babylon, king of Sumer and Akkad; descendant of Bēl-bāni, son of Adasi, king of Assyria, ancient stock —
Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il of (the land Bīt)-Agusi (lit. “son of Agusi”) (against me)... Between the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I utterly defeated him and took his entire camp away from him. 	Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il (against me). In the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I defeated him and took his entire camp away from him. He became frightened of the terrifying radiance of my weapons and fled alone in order to save his life. 
CT 54 509 	CT 54 160 
... , the ... day, eponymy of ... , governor of ... 	... , the eighth day, eponymy of Bēlšunu, governor of the city Ḫindānu (648).
Witness Nabû-kašir, overseer of reeds.	Witness Nabû-šezibanni, overseer of the royal crypts.
The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds it.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
... sent the beginning of the message ... :	at the beginning of the month ... 
If the sun in ... 	... whom the king ... 
Witness ... -ilu.	Witness ... 
Whoever in the future, at any time, lodges a complaint, whether Upaq or his sons or his brothers or any relative of his or his prefect or his labour-duty superior, and seeks a lawsuit or litigation against Bel-Harran-beli-uṣur or his son	Whoever in the future, and at any time, whether these men or their  sons (or) their grandsons or any relative of theirs or their ... s or their  labour-duty superior, seeks a lawsuit or litigation against NN and his sons,
I captured alive Massirâ, the chief archer of Teumman, the king of the land Elam, who was stationed inside the city Ša-pī-Bēl to provide support to the land Gambulu (and) to guard Dunānu. I cut off his head (and) beat (it) against the face of Dunānu, the ally who could not save him. 	I captured alive Massirâ, the chief archer of Teumman, the king of the land Elam, who was stationed inside the city Ša-pī-Bēl to provide support to the land Gambulu (and) to guard Dunānu. I cut off his head (and) beat (it) against the face of Dunānu, the ally who could not save him.
Witness Zabdanu.	Witness Marduk-zeru-ibni, scribe.
Ittî, chariot driver;	Witness NN, chariot driver.
he stole ... 	... wherever he goes ... 
Witness Sipparanu, tanner of colored leather.	Witness Sin-na'id, tanner of colored leather.
Whoever in the future, at any time, whether Aššur-naṣir or his sons or brothers or his governor, seeks a lawsuit or litigation against Šamaš-abu-uṣur, his sons and grandsons, shall place x minas of refined silver and one mina of pure gold	Whoever in the future, at any time, whether Aššur-naṣir or his sons or brothers or his governor, whoever seeks a lawsuit or litigation against Šamaš-abu-uṣur or his sons, shall place x minas of silver and one mina of gold in the lap of Adad, the lord of Kilizi, and shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.
17 10 ... ,	11 ... 
... I have written to the king, my lord ... 	... Aššur to the king, my lord ... 
... there is not ... 	there is ... 
The king said to the ... 	the king's mother ... 
I am a servant who reveres the kings, my lords. I must not become estranged from the kings, my lords.	I am the who blesses the king, my lord. I trust in the king,  my lord. I pray to Marduk and Zarpanitu for the life, happiness, health, and longevity of the king, my lord. I must not become estranged from the king, my lord. Marduk-zeru-ibni is slandering me because he trusted  Urdu-Nabû and Nadinu. I, (on the other hand,) trust in the king, my lord. May the eyes of the king be upon me.
total — Ninurta.	Witness Iddin-Ea, priest of Ninurta.
