...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
...𒁁𒈾𒌇𒅆𒁁𒄈...	... BE NA TUKU-ši BE GIR₂ ... 	... It has a 'station.' The 'path' ... 
𒁹𒌍𒉣𒇬𒆸𒈠𒀭𒉌𒁁𒀀𒉡𒀸𒊮𒁉𒋙𒁺𒄑𒀸𒆳𒆕𒀀𒁉𒈨𒊑𒋗𒉡𒋛𒁲	1 30 TUR₃ NIGIN₂-ma {d}-ṣal-bat-a-nu ina ŠA₃-bi-šu₂ GUB-iz ina KUR DU₃.A.BI me-re-šu NU SI.SA₂ 	If the moon is surrounded by a halo, and Mars stands in it: in all lands the cultivated field will not prosper.
...𒀯𒀸𒁁𒀭𒇻𒅂𒊕𒍑...𒀯𒋗𒉺𒀯???𒀯𒃲𒀀𒅆𒅁𒊭𒈠𒈨𒋩𒆥𒉡𒊏𒀊𒁍𒁴𒀾𒋳𒃶𒋗𒉡𒋾𒈠𒀀𒈾𒁷𒌓𒈨𒌍𒊒𒄣𒋾𒈧𒉡𒄑𒄖𒍝𒆷𒁇𒁄𒂊𒁺𒌝𒈬𒋡𒀀𒈠𒌅𒌑𒀀𒀸𒈠𒄯𒀭𒀫𒌓𒁁𒉌𒅀𒌑𒊓𒀠𒇷𒋙𒉡𒋾	... {MUL}-dil-bat {d}-UDU.IDIM.SAG.UŠ ... {MUL}-ŠU.PA {MUL}-|AB×HAL| MUL GAL a-ši-ib ša-ma-me sur-qin-nu ra-ab-bu-tim aš₂-tak-kan-šu-nu-ti-ma a-na TIN UD.MEŠ ru-qu-ti kun₈-nu {GIŠ}-GU.ZA la-bar BALA-e du-um-mu-qa a-ma-tu-u₂-a ina ma-har {d}-AMAR.UTU be-li₂-ia u₂-sa-al-li-šu₂-nu-ti 	... , Venus, Saturn, ... , Boötes, ... , the great star(s) who reside in heaven, I established for them a large amount of strewn offerings and I prayed to them for a long life (lit. “a life of long days”), a firmly secured throne, a long reign, (and) making my words gain favor in the presence of the god Marduk, my lord.
𒊩𒈠𒀀𒈾𒂍...𒌌...	mim-ma a-na E₂ ... ul ... 	... not ... anything to Bit-... 
...𒈗𒇺𒀪𒀠𒀀𒈾𒌋𒅗𒈪𒉌𒄿...𒋾	... LUGAL liš-ʾa-al a-na UGU mi-ni-i ... ti 	The king should ask why ... 
...𒋢𒊭𒁹𒂗𒆜𒂗𒉽	... su ša {1}-EN—KASKAL—EN—PAB 	... of Bel-Harran-belu-uṣur
...𒇻𒌋𒀀𒄯...𒉌	... lu-u a-mur ... ni 	I would have seen ... 
...𒌉𒈨𒌍𒆍𒀭𒆠𒌉𒈨𒌍𒆍𒀭𒆠	... DUMU-MEŠ—KA₂.DINGIR {KI} DUMU-MEŠ—KA₂.DINGIR {KI} 	... citizens of Babylon,
...𒀭𒁁𒀖𒀭𒂊𒄑𒋛𒃻𒍝𒆳	... {d}-be-lit—AN-e {GIŠ}-si-gar ZA.GIN₃ 	... Belet-šamê, a bolt of lapis lazuli
...𒋛𒍠𒋛𒀀...	... si ZAG SA₅ ... 	... , ditto, the front red;
...𒁀𒋛𒉌𒆤𒋫𒊭...𒆷𒀾𒋙	... ba-si ni-kit-ta-ša ... la-aš₂-šu₂ 	... so there is no fear ... 
𒀭𒀸𒋩𒀭𒌓𒌋𒀭𒀫𒌓𒄑𒄖𒍝𒃻𒆠𒈾𒀀𒋾𒀀𒈾𒁕𒊕𒀀𒈾𒌓𒈨𒌍𒁍𒁕𒈨𒌍𒀀𒈾𒈗𒂗𒅀𒀉𒆗𒉡	{d}-aš-šur {d}-UTU u {d}-AMAR.UTU {GIŠ}-GU.ZA ša₂ ki-na-a-ti a-na da-riš a-na UD-MEŠ GID₂.DA-MEŠ a-na LUGAL EN-ia it-tan-nu 	Aššur, Šamaš, and Marduk have granted to the king my lord a stable throne forever, for long days.
𒀀𒈾𒁹𒀭...𒆥𒉈𒈠𒌝𒈠𒈗𒈠	a-na {1}-{d}-... qi-bi₂-ma um-ma LUGAL-ma 	Say to NN: thus says the king:
...𒄿𒉼𒉡𒌑	... i-ban-nu-u₂ 	... they are building ... 
𒀀𒈾𒆪𒁹𒀭𒊹𒋀𒋧𒈾𒈗𒋙𒈗𒆳𒀸𒋩𒆠...𒂍𒀭𒌍𒀭𒊩𒌆𒃲𒀭𒌓𒀭𒀀𒀀...𒀸𒆠𒆗𒉠𒌷𒃻𒀏𒆠𒀀𒈾𒈬𒉺𒅁...𒀸𒌗𒊩𒈨𒌓𒈨𒊺𒈨𒂊𒀸𒉌𒌓𒉿𒄿𒇷𒉌𒌓𒆳𒄿𒆗𒉌...𒍢𒅕𒌓𒇷𒂊𒋗𒀀𒌅𒍑𒅆𒋙𒀜𒁲...𒂍𒋗𒀀𒌓𒀀𒈾𒋛𒆟𒋾𒋙𒅈𒍦𒌑𒊕𒇸...𒄑𒃡𒈨𒌍𒄑𒂞𒈤𒈨𒌍𒌑𒆳𒊑𒍝𒌋𒅗𒋙...𒄑𒅅𒈨𒌍𒄑𒋩𒌋𒌋𒃻𒂊𒊑𒄑𒋛𒈾𒁕𒀀𒁀...𒊩𒈠𒌑𒈾𒀀𒋾𒄭𒋚𒋾𒂍𒃻𒆬𒌓𒆬𒄀...𒌌𒌅𒂍𒋗𒀀𒌅𒌑𒊕𒇷𒇻𒌑𒋗𒌅𒌋𒀝𒈬𒊏𒅆𒌓𒋙...𒀭𒌍𒀭𒊩𒌆𒃲𒀭𒌓𒀭𒀀𒀀𒀭𒈨𒌍𒃲𒈨𒌍...𒌗𒌑𒈠𒆷𒈾𒌓𒅗𒀀...	a-na-ku {m}-AN.ŠAR₂-ŠEŠ-SUM.NA LUGAL ŠU₂ LUGAL KUR aš-šur {KI} ... E₂ {d}-30 {d}-nin-gal {d}-UTU {d}-a-a ... ina qe₂-reb MURUB₄ URU ša₂ NINA {KI} a-na mu-šab ... ina ITI šal-me u₄-me še-me-e ina {NA₄}-pi-i-li NA₄ KUR-i dan-ni ... ṣe-er tam-le-e šu-a-tu uš-ši-šu₂ ad-di ... E₂ šu-a-tu₂ a-na si-hir-ti-šu₂ ar-ṣip u₂-šak-lil ... GIŠ.UR₃.MEŠ {GIŠ}-EREN MAH.MEŠ u₂-šat-ri-ṣa UGU-šu₂ ... {GIŠ}-IG.MEŠ {GIŠ}-ŠUR.MIN₃ ša₂ e-re-es-si-na ṭa-a-ba ... mim-ma u₂-na-a-ti hi-ših-ti E₂ ša₂ KU₃.BABBAR KU₃.GI ... ul-tu E₂ šu-a-tu u₂-šak-li-lu u₂-qat-tu-u ag-mu-ra ši-pir-šu₂ ... {d}-30 {d}-nin-gal {d}-UTU {d}-a-a DINGIR.MEŠ GAL.MEŠ ... ITI-šam-ma la na-par-ka-a ... 	I, Esarhaddon, king of the world, king of Assyria, ... the temple of the gods Sîn, Ningal, Šamaš, (and) Aya ... in the citadel of (the city of) Nineveh as residence of ... (15) In a favorable month, on a propitious day, I laid its foundations upon that terrace with limestone, strong stone from the mountains, ... I built (and) completed that temple in its entirety... I roofed it with magnificent cedar beams ... (and) I fastened bands of silver and copper on doors of cypress, whose fragrance is sweet, and installed (them) in its gates. (20) I ... whatever utensils were needed for the temple, whether silver (or) gold ... When I had completed that temple (and) brought its construction to an end ... the gods Sîn, Ningal, Šamaš, (and) Aya, the great gods, ... monthly, without ceasing.
...𒅆𒋾𒀭𒋾𒁁𒀖𒀭𒈨𒀸𒀀𒆳𒉿𒄿𒋙𒂖𒀖𒀜𒆗𒈠	... ši-ti DINGIR-ti be-lit—DINGIR-ME ina a-mat pi-i-šu₂ el-lit at-kal-ma 	I obeyed the divinity of Belet-ili, trusting in her holy command.
𒁹𒀀𒁁𒈗𒉽𒈤𒆳𒌋𒌋𒈾𒀀𒀀𒄿𒋛𒋙𒉡𒄿𒆷𒅗𒀀𒊓𒀠𒋙𒈠𒀀𒈾𒄯𒌓o𒄿𒁀𒅆𒋗𒈫𒋾𒆪𒉡𒌋	{1}-a-bat—LUGAL—PAB {LU₂~v}-MAH {KUR}-man-na-a.a i-si-šu₂-nu i-la-ka a-sa-al-šu₂ ma-a na-mur-tu₂ o i-ba-ši ŠU.2-ti-ku-nu-u 	Abat-šarri-uṣur, the Mannean emissary, is coming with them. I asked him: "Is the audience gift with you?"
𒌉𒈬𒉌𒌓𒆸𒀭𒉺𒌆𒌋𒌋𒆧𒌋𒌋𒆗𒉌𒌋𒌋𒆳𒀭𒀀𒋩𒈠𒆰𒋃𒋾𒋗𒄿𒈾...𒈗𒌋𒌋𒈨𒌍𒂗𒂗𒈨𒌍...𒆰𒁕𒊒𒌑𒊭𒈗𒋾...	DUMU mu-tak₃-kil-{d}-nusku MAN KIŠ MAN dan-ni MAN KUR {d}-a-šur-ma NUMUN ŠID-ti-šu i-na ... LUGAL MAN.MEŠ EN EN.MEŠ ... NUMUN da-ru-u₂ ša LUGAL-ti ... 	Son of Mutakkil-Nusku, (who was) also king of the universe, strong king, king of Assyria his priestly progeny ... king of kings, lord of lords, ... , eternal royal seed ... :
𒁹𒂵𒁕𒀪𒇽𒄥𒍠	{1}-ga-da-aʾ {LU₂}-qur-ZAG 	Gada', royal bodyguard;
...𒁁𒄑𒆪𒈧𒁹𒐖𒌍𒍣𒁉...	... BE {GIŠ}-TUKUL MAŠ₂ ana 150 ZI-bi ... 	... The 'weapon'-mark of the 'increment' is elevated to the left ... 
...𒋳𒆪𒆳𒐋...	... tak-ku-sat 06 ... 	... tubes, 6 ... ,
𒆬𒌓𒂊𒍦𒋧𒀭...	KUG.UD e-ṣip SUM-an ... 	he shall pay double the silver.
𒅆𒁹𒀭𒉺𒌆𒀸	IGI {1}-{d}-PA.TUG₂—AŠ 	Witness Nusku-iddina.
...𒈠𒋾𒁹𒄑𒈪𒂗...𒀝𒋫𒅘𒈬...𒀸𒌋𒅗𒈗𒂗𒅀	... ma-ti {1}-GIŠ.MI—EN ... ak-ta-nak MU ... ina UGU LUGAL EN-ia 	I have ... the ... s of Ṣil-Bel, sealed them, ... and am sending  them to the king, my lord... 
𒆠𒄿𒅋𒇷𒆪𒌑𒉌𒁲𒅅𒋫𒋙𒉡𒉌𒀉𒂁	ki-i il-li-ku-u₂-ni di-ik-ta-šu₂-nu ni-id-duk 	When they came ... , we inflicted a defeat on them.
𒉽𒌷𒊺𒈗𒋡𒉌𒌷𒁴𒈨𒋾𒀸𒆠𒉺𒀀𒉌	PAB {URU}-ŠE LUGAL qa-ni {URU}-dim-me-ti ina ki-pa-a-ni 	Total, (in) the King's village, near the town of Dimmeti, in Kipani.
𒅆𒁹𒁕𒂵𒈾𒅖𒆠	IGI {1}-da-ga-na—mil-ki 	Witness Dagan-milki.
𒄿𒈾𒌓𒈪𒋗𒈠𒂍𒃻𒌷𒋫𒄿𒁲𒂊𒈾𒄴𒈠𒀭𒄷𒋢𒌑𒉌𒆠𒅕𒀀𒈾𒀸𒊑𒋗𒌑𒋼𒅕𒅖𒌅𒍑𒊺𒋗𒀀𒁲𒃮𒁳𒁉𒋗𒂊𒁍𒍑𒅇𒈾𒊑𒅀	i-na u₄-mi-šu-ma E₂ ša₂ {URU}-ta-i-di e-na-ah-ma an-hu-su u₂-ne₂-ki-ir a-na aš-ri-šu u₂-te-er iš-tu uš-še-šu a-di gaba-dib-bi-šu e-pu-uš u₃ na-re-ia 	At that time the ... of the city Taidu had become dilapidated and I removed its debris. I restored it. I rebuilt (it) from top to bottom and deposited my monumental inscriptions.
𒁁𒀸𒂅𒌋𒐊𒌋𒊒𒁲	BE ina DUN₃ 15 BUR₃ ŠUB-di 	There is a hole in the right of the 'pouch.'
𒀀𒈾𒆪𒁹𒀭𒊹𒆕𒀀𒁉𒉡𒌓𒀭𒊹𒌋𒀭𒊩𒌆𒆤𒌉𒈗𒃲𒌋𒊭𒂍𒍑𒌑𒋾𒊭𒀭𒌍𒌌𒌅𒌓𒈨𒌍𒋤𒈨𒌍𒀸𒊮𒂼𒋙𒄑𒆪𒊒𒍑𒀀𒈾𒉺𒇻𒌓𒆳𒀭𒊹𒆠𒅇𒀭𒌓𒀭𒅎𒀸𒌍𒁇𒋙𒉡𒆠𒂊𒉡𒅅𒁍𒌋𒂊𒄫𒈗𒌑𒋾𒋙	a-na-ku {m}-AN.ŠAR₂-DU₃-A bi-nu-ut AN.ŠAR₂ u {d}-NIN.LIL₂ DUMU LUGAL GAL-u ša E₂ UŠ-u₂-ti ša {d}-30 ul-tu UD.MEŠ SU₃.MEŠ ina ŠA₃ AMA-šu₂ iz-ku-ru-uš a-na SIPA-ut KUR AN.ŠAR₂ {KI} u₃ {d}-UTU {d}-IŠKUR ina EŠ.BAR-šu₂-nu ke-e-nu iq-bu-u e-peš LUGAL-u₂-ti-šu₂ 	I, Ashurbanipal, the creation of (the god) Aššur and the goddess Mullissu, the senior son of the king of the House of Succession, the one whom the god Sîn nominated in distant days, while (he was) in the womb of his mother, for shepherding Assyria and (the one for whom) the gods Šamaš (and) Adad declared the exercising of its kingship through their firm decision(s) —
𒁁𒈠𒆷𒄿𒁷𒀀𒈾𒁁𒄯𒃲𒁉	BE-ma la i-din a-na mit-har GAL-bi 	If he does not give, it shall increase by the same amount.
𒁹𒀯𒄈𒋰𒀸𒅆𒇲𒋙𒋛𒈨𒌍𒋙𒍪𒀪𒌑𒊏𒇽𒉽𒍣𒈠𒀸𒄑𒆪𒊒𒌓	1 {MUL}-GIR₂.TAB ina IGI.LAL-šu₂ SI-MEŠ-šu₂ zu-ʾu-u₂-ra {LU₂}-KUR₂ ZI-ma ina {GIŠ}-TUKUL ŠUB-ut 	If Scorpius' horns at its appearance are twisted: the enemy will attack, but fall in battle.
𒅆𒁹𒀭𒉺𒊓𒄒	IGI {1}-{d}-PA—sa-kip 	Witness Nabû-sagib.
𒌷𒍢𒁺𒈾𒀀𒀀𒊕𒁺𒈨𒌍𒋼𒆷𒀀𒋬𒌉𒈗𒌉𒈗𒂗𒅀𒀸𒌷𒆕𒄩𒅋𒇷𒆪𒆷𒀀𒀸𒈠𒇡𒋼𒊭𒌷𒉌𒉡𒀀𒄿𒍝𒍪𒃮𒋛𒌷𒄿𒁺𒇻𒅀𒈬𒌅𒀸𒂍𒌒𒊑𒂊𒋙𒂍𒌒𒊑𒂊𒋙	{URU}-ṣi-du-na-a.a {LU₂~v}-SAG.DU-MEŠ-te la-a TA@v DUMU—LUGAL DUMU—LUGAL EN-ia ina {URU}-kal₃-ha il-li-ku la-a ina ma-ṣar-te ša {URU}-ni-nu-a i-za-zu qab-si URU i-du-lu ia-mu-tu ina E₂—ub-re-e-šu₂ E₂—ub-re-e-šu₂ 	The Sidonites and the(ir) heads did not go to Calah with the crown prince, my lord, nor are they serving in the garrison of Nineveh. They loiter in the center of the town, each in his lodging place.
...𒀭𒂗𒆤𒅁𒉺𒇺𒈠𒂊𒍣𒄑𒊮𒁀𒋙𒅗𒁁𒆪𒄑𒍝𒊑𒄴𒀭𒂗𒆤𒇳𒀭𒈨𒌍𒂗𒆳𒆳𒀀𒈾𒊓𒈜𒆳𒌋𒌦𒈨𒌍𒅅𒋫𒁍𒌓𒇷𒄷𒄭𒌅𒀀𒈾𒊓𒉼𒆳𒅇𒅆𒌨𒇻𒊌𒌦𒈨𒌍𒃻𒈜𒁍𒍑𒂊𒁁𒈠𒅈𒋥𒈠𒊒𒍑𒋾𒅖𒃻𒆥𒀸𒉿𒄿𒋙	... {d}-EN.LIL₂ ip-pa-lis-ma e-zi-iz lib₃-ba-šu₂ ka-bat-tuš iṣ-ṣa-ri-ih {d}-EN.LIL₂.LA₅ DINGIR.MEŠ EN KUR.KUR a-na sa-pah KUR u UN.MEŠ ik-ta-pu-ud le-mut-tu a-na sa-pan KUR u₃ hul-lu-uq UN.MEŠ-ša₂ lib-bu-uš e-ziz-ma ar-rat ma-ru-uš-ti iš-ša₂-kin ina pi-i-šu₂ 	The god Enlil saw ... and his heart became angry (and) his mood became furious. The Enlil of the gods, the lord of the lands, plotted evilly to scatter the land and people; to level the land and to destroy its people, his heart was angry. A bitter curse was placed in his mouth. 
𒉽𒑆𒈬𒊺𒁉𒄷𒄩𒈠𒀀𒀀	PAB 09 mu-še-bi hu-ha-ma-a.a 	in all, 9: the 'residences' of the Huhamaeans.
𒁹𒊓𒅈𒁺𒊑𒆳𒌑𒅈𒊏𒁕𒀀𒀀𒄿𒈾𒌷𒂅𒊒𒍑𒉺𒀀𒌷𒋙𒂊𒋤𒋙𒈠𒁲𒅅𒋫𒋙𒈠𒀪𒀜𒌅𒀸𒅆𒆍𒃲𒈨𒌍𒋙𒀀𒂁𒍝𒇴𒈗𒋾𒅀𒆕𒍑𒈠𒀸𒋻𒍢𒌷𒂅𒊒𒍑𒉺𒀀𒌌𒁁	{m}-sa-ar-du-ri {KUR}-u₂-ar-ra-ṭa-a-a i-na {URU}-ṭu-ru-uš-pa-a URU-šu₂ e-sir-šu₂-ma di-ik-ta-šu₂ ma-ʾa-at-tu ina IGI KA₂.GAL.MEŠ-šu₂ a-duk ṣa-lam LUGAL-ti-ia DU₃-uš-ma ina tar-ṣi {URU}-ṭu-ru-uš-pa-a ul-ziz 	I confined Sarduri of the land Urarṭu to the city Ṭurušpâ, his city, and inflicted a great defeat upon him before his city gates. I fashioned my royal image and erected (it) in front of the city Ṭurušpâ. 
𒌨𒊒𒁍𒀸𒌋𒅗𒌑𒉀𒄷𒊭𒈗𒁁𒉌𒅖𒁓𒀭𒉌	lik-ru-bu ina UGU U₂.TE₃ {MUŠEN} ša LUGAL be-li₂ iš-pur-an-ni 	Concerning the raven about which the king, my lord, wrote to me, (here are the relevant omens):
...𒄯𒄀𒋝𒁹𒅀𒌑𒋛𒅅𒀭𒌉𒁹𒀭𒀀𒊏𒈨o𒈾𒋝𒊭𒂍...	... HAR GI SIG {1}-iu-u₂-si-iq—DINGIR DUMU {1}-DINGIR-a—ra-me o na-sik ša E₂—... 	x gold rings, small, Yusiq-ili, son of Ilâ-rame, sheikh of Bit-... ,
𒋗𒈬𒀭𒉌𒌋𒋛𒇷𒀀𒋼𒋗𒌋𒌓𒈗𒁁𒉌𒀸𒌋𒅗𒊮𒋙𒆷𒄿𒊕𒃶𒋙	šu-mu an-ni-u si-li-a-te šu-u-tu₂ LUGAL be-li₂ ina UGU ŠA₃-šu₂ la i-šak-kan-šu₂ 	This omen is a lie; the king my lord should not pay attention to it.
𒀀𒈾𒆪𒁹𒀭𒌍𒈗𒃻𒌦𒌋𒌋𒃲𒌋𒌋𒌋𒆗𒉡𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒌉𒁹𒀸𒋩𒆕𒀀𒌋𒌋𒃲𒌋𒌋𒌋𒆗𒉡𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒌋𒌋𒆳𒅴𒂠𒌋𒌵𒆠𒌋𒌋𒄒𒋥𒇹𒋾𒌉𒁹𒀸𒋩𒉽𒀸𒌋𒌋𒃲𒌋𒌋𒌋𒆗𒉡𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒄊𒀴𒆍𒀭𒆠𒌋𒌋𒆳𒅴𒂠𒌋𒌵𒆠𒌉𒁹𒀭𒌍𒉽𒈨𒌍𒋢𒌋𒌋𒃲𒌋𒌋𒌋𒆗𒉡𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒉣𒆷𒃻𒈾𒀭𒊮𒁄𒁄𒁹𒈗𒄀𒈾𒌋𒌋𒃲𒌋𒌋𒌋𒆗𒉡𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒄊𒀴𒆍𒀭𒆠𒌋𒌋𒆳𒅴𒂠𒌋𒌵𒆠𒈬𒌓𒁹𒂍𒆳𒊑𒂍𒀭𒀝𒂗𒅀𒃻𒆠𒆗𒁄𒌀𒆠𒉣𒇬𒋙𒀀𒌓𒄿𒈾𒀀𒃵𒊑𒉿𒋾𒅅𒀭𒉣𒃡𒊏𒀝𒋓	a-na-ku {m}-{d}-30-LUGAL-GAR-un MAN GAL-u MAN dan-nu MAN ŠU₂ MAN KUR aš-šur {KI} DUMU {m}-aš-šur-DU₃-A MAN GAL-u MAN dan-nu MAN ŠU₂ MAN KUR aš-šur {KI} MAN KUR EME.GI₇ u URI {KI} MAN kib-rat LIMMU₂-ti DUMU {m}-aš-šur-PAP-AŠ MAN GAL-u MAN dan-nu MAN ŠU₂ MAN KUR aš-šur {KI} GIR₃.NITA₂ KA₂.DINGIR {KI} MAN KUR EME.GI₇ u URI {KI} DUMU {m}-{d}-30-PAP.MEŠ-SU MAN GAL-u MAN dan-nu MAN ŠU₂ MAN KUR aš-šur {KI} NUN la ša₂-na-an ŠA₃.BAL.BAL {m}-LUGAL-GI.NA MAN GAL-u MAN dan-nu MAN ŠU₂ MAN KUR aš-šur {KI} GIR₃.NITA₂ KA₂.DINGIR {KI} MAN KUR EME.GI₇ u URI {KI} mu-ud-diš e₂-kur-ri E₂ {d}-AG EN-ia ša₂ qe₂-reb bal-til {KI} TUR₃ šu₂-a-tu₂ i-na a-gur₂-ri pi-ti-iq {d}-nun-ur₃-ra ak-šir 	I, Sîn-šarra-iškun, great king, strong king, king of the world, king of Assyria; son of Ashurbanipal, great king, strong king, king of the world, king of Assyria, king of the land of Sumer and Akkad, king of the four quarters (of the world); son of Esarhaddon, great king, strong king, king of the world, king of Assyria, (5) governor of Babylon, king of the land of Sumer and Akkad; son of Sennacherib, great king, strong king, king of the world, king of Assyria, unrivalled prince; descendant of Sargon (II), great king, strong king, king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad; (10) the one who renovates the chapels of the temple of the god Nabû, that is inside Baltil (Aššur): I repaired its enclosed courtyard (lit. “that enclosed courtyard”) with baked bricks, the craft of the deity Nunurra.
𒁁𒄑𒁍𒋛𒈨𒌍𒋙𒀀𒊬𒉿𒈫𒋙𒌋𒐊𒌋𒆏𒃻𒈨𒌍𒈗𒌒𒈨𒌍𒄿𒁁𒂖	BE iz-bu SI-MEŠ-šu₂ a-šar PI.2-šu₂ 15 u KAB GAR-MEŠ LUGAL UB-MEŠ i-be-el 	If an anomaly's horns are where its right and left ears (should be): the king will rule the (four) quarters.
𒅆𒁹𒆕𒊑𒂗𒅆𒁹𒁕𒁉𒄿𒃻	IGI {1}-da₃-ri—EN IGI {1}-ṭa-bi-i {LU₂~v}-NINDA 	Witness Dari-Bel. Witness Ṭabî, baker.
𒀸𒌋𒅗𒊑𒄷𒌋𒋼𒀀𒈾𒁹𒌋𒐊𒈬𒀳𒌍𒈗𒁁𒉌𒉈𒂊𒈬𒇺𒆲	ina UGU re-hu-u-te a-na {1}-15—MU—APIN-eš LUGAL be-li₂ ṭe₃-e-mu liš-kun 	Let the king, my lord, give an order to Issar-šumu-ereš about the remaining ones.
𒌗𒄞𒌓𒌋𒄰𒅆𒈨𒁹𒌋𒌋𒁺	{ITI}-GUD UD 10-KAM lim-me {1}-MAN—GIN 	Month of Iyyar (II), 10th day, eponym year of Sargon (719 B.C.)... 
...𒌓𒈬𒀲𒆳𒊏𒈨𒌍...	... UD-mu {ANŠE}-KUR.RA-MEŠ ... 	... the horses ... 
o𒁹𒂊𒉈𒊑𒊭𒁹𒋢𒈠𒅀	o {1}-e-ṭe₃-ri ša {1}-su-ma-ia 	Eṭeri — whom Sumaya,
𒅆𒁹𒁺𒉡𒋢𒅆𒁹...	IGI {1}-du-nu-su IGI {1}-... 	Witness Dunusu. Witness NN.
𒊭𒇽𒈨𒌍𒀭𒉡𒋼...	ša LU₂-MEŠ an-nu-te ... 	of these men ... 
𒋗𒉡𒆷𒂊𒈬𒊒𒀀𒉌𒉡𒆷𒉌𒂊𒄯𒈠...𒆷𒀀𒋙𒆷𒀀𒉡𒋻𒊏	šu-nu la e-mu-ru a-ni-nu la ne₂-e-mur-ma ... la-a-šu₂ la-a nu-tar-ra 	They did not see, we did not see; (consequently) we do not reject the (30th) day.
𒋳𒈠𒅆𒂟𒅀𒋼𒋫𒉺𒀾	šum-ma SIG₅-ia te-ta-pa-aš₂ 	If you do what is good to me,
𒁹𒈨𒐐𒊭𒁹𒈾𒁲𒉡𒁹𒈨𒌋𒌋𒊭𒁹𒄩𒍝𒆷𒀀𒐕𒊭𒁹𒀀𒀀...𒊭𒋢𒄩𒀀𒀀...𒊭𒄭𒅔𒁕𒈾𒀀𒀀...𒆪𒊑𒆷𒋙𒉡𒉽...𒂟𒈨𒌍𒋙𒉡𒊭𒅋𒇷𒆪𒉌𒉌	01 me 50 ša {1}-na-di-nu 01 me 20 ša {1}-ha-za-la-a 60 ša {1}-A-a ... ša {LU₂~v}-su-ha-a.a ... ša {LU₂~v}-hi-in-da-na-a.a ... ku-tal-la-šu₂-nu PAB ... {LU₂~v}-ERIM-MEŠ-šu₂-nu ša il-li-ku-ni-ni 	150 (men) of Nadinu, 120 of Hazalâ, 60 of Aplaya, x of the Suhean, x of  the Hindanean, x their reserve, in all x men of theirs who have come.
𒅆𒁹𒅆𒂟𒅗𒈨𒌍𒀭𒌋𒐊𒇽𒑳	IGI {1}-SIG₅—INIM-MEŠ—{d}-15 {LU₂}-:. 	Witness Danqu-dibbi-Issar, ditto.
𒌝𒈠𒌋𒅗𒄭𒈗𒌋𒇽𒃲𒅗𒈲𒇽𒃲𒅗𒈲𒃻𒋫𒅗𒆷𒋫𒊩𒌨𒆷𒋫𒁹𒈗𒄿𒌁𒁍𒌑𒉡	um-ma UGU-hi LUGAL u {LU₂}-GAL—ka-ṣir {LU₂}-GAL—ka-ṣir ša₂ ta-ka-la-ta nik-la-ta ana LUGAL i-ter-bu-u₂-nu 	They say: "While you put your trust in the king and the chief tailor, intrigues have penetrated to the king.
𒋦𒄑𒊬𒊭𒁹𒁁𒈠𒀭𒈨𒌍𒉌	SUHUR {GIŠ}-SAR ša {1}-BE-ma—DINGIR-MEŠ-ni 	adjoining the garden of Šumma-ilani,
𒅆𒁹...𒅆𒁹𒈜𒄀𒄿	IGI {1}-... IGI {1}-nar-gi-i 	Witness NN. Witness Nargî.
𒌓𒌋𒌋𒈫𒆚𒁕𒀊𒀸𒂊𒄫𒍢𒁍𒋾	UD 22-KAM₂ ṭa-ab ina e-peš ṣi-bu-ti 	The 22nd: good for undertaking an enterprise;
𒌨𒊒𒁍𒀭𒉡𒋆𒇽𒄷𒌦𒁺𒊒𒀀𒀀𒊍𒉺𒅁𒊏𒌓𒈬𒊭𒄿𒋡𒆗𒌑𒉌𒉌𒀀𒈾𒈫𒋗𒌆𒈠𒋛𒆠𒌒𒌓𒁲𒈾𒋙𒉡𒌋𒌆𒇻𒀸𒅆𒀜𒈗𒀸𒊮𒁉𒇷𒁍𒋙	lik-ru-bu an-nu-rig {LU₂}-hu-un-du-ru-a-a as-sap-ra UD-mu ša i-qa-rib-u₂-ni-ni a-na 02-šu {TUG₂}-ma-si-ki ar₂-hiš di-na-šu₂-nu dul-lu ina IGI-at LUGAL ina ŠA₃-bi le-pu-šu₂ 	Now I am sending you the hundurāyus. The day they arrive, give them two sets of massuku textiles at once, so that they may perform the work with them in the king's service.
