I brought ... and gave ... where ... 	... and shall send ... 
At that time the temple of the goddess Ištar, mistress of Nineveh, my mistress, which Šamšī-Adad (I), the king, my predecessor, had previously built (and which, when) it became dilapidated, Aššur-uballiṭ (I), my forefather, later restored — that temple had been damaged in an earthquake and was in ruin. I cleared away (the debris) entirely and reconstructed its weakened portions. I rebuilt the fallen sections from top to bottom. I restored (and) returned to their places the clay inscriptions of Aššur-uballiṭ (I) and deposited my clay inscriptions.	At that time the Libūr-šalḫī Gate, which is adjacent to the shrine of the Gate of Aššur, my lord, (and) which had been built previously, had become dilapidated. I cleared away its debris, reconstructed the weakened portions, and rebuilt the ruined section from top to bottom. I deposited my monumental inscription.
Witness Nergal-duri.	Witness ... 
He shall enjoy it for three crop years and 3 fallow years, in all 6 years.	He shall have the usufruct of the field for three fallow years and three crop years.
Go up and ... 	4 minas ... ;
... s 1 seah 1 litre of oil. Total 5 seahs 5 litres of honey	1 seah 5 'litres' of small bread-loaves ... ;
... , his wife, his 2 sons, his daughter ... 	... (my) daughter ... 
... ; adjoining the king's road from Kubanaše to Aridi;	An estate of ... adjoining the road to Calah.
I placed crossbeams on tall cedar columns (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black (and) blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch (and) a vault like a rainbow. I embedded nails of pure silver and shining bronze in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord,  (the deeds) that I had accomplished in enemy lands.	I placed crossbeams on large copper columns (and) tall cedar columns, (thus forming) a cornice in their gates. I had the frieze(s) (and) coping(s) of the whole of that palace made of black and blue (glazed bricks) and I put (them) around (it) like a wreath. I surrounded all of the gates with an arch and a vault like a rainbow. I embedded nails of silver, gold, and shining copper in them. Through the craft of the sculptor, I depicted on it (the frieze of the palace) the might of the god Aššur, my lord, (and) the deeds that I had accomplished in enemy lands. 
Month ... , 18th day	Month ... , 23rd day, eponym year of Zazaya.
... Raḫiānu (Rezin) ... 	... whom the king ... 
on foot ... 	Witness ... 
A tablet of Aššur-nirka-da''in to my brother Nabû-nammir. The  best of health to my brother!	To the king, my lord: your servant Ašipâ. The best of health to the king, my lord!
The 13th is a propitious day; let them perform it.	Let them send (word) to ... , so we can undertake to perform it.
This 5th day of Kanun (X) belongs to Talmusu. Nothing has been brought; no one came. Nevertheless for the sake of the life of the king, my lord, I have performed and presented every sacrifice before Aššur and the gods of the king, my lord.	The king's work has become a burden to me. I released my men in early winter, but those who were released entered strongholds in order to evade the king's work. O king my lord, let a royal bodyguard be commissioned to bring them out, and let them  do the king's work.
the strong man who is clad in awesome splendor (and) whose weapons are raised to strike down (his) enemies; who brought about the defeat of Ḫumbanigaš (Ḫumban-nikaš I), the Elamite; who subjugated the lands Mannea, Karalla, Andia, (and) Zikirtu, the cities of Kišesim (and) Ḫarḫar, (and) the lands Media (and) Ellipi; (15) who imposed the yoke of (the god) Aššur (upon them); who laid waste to the land Urarṭu (and) the city Muṣaṣir; in great fear of whom Ursâ (Rusâ), the Urarṭian, brought an end to his life with his own weapon; who carried off as booty the rulers of the city Carchemish, the land Hamath, the land Kummuḫu, (and) the city Ashdod — evil Hittites, who do not fear the words of the gods (and always) speak treachery; who (20) set eunuchs of his as provincial governors over all their lands and considered them as people of Assyria; who overwhelmed the city Samaria, all of the land Bīt-Ḫumria (Israel), (and) the land Kasku; who conquered the land Tabal, all of the land Bīt-Purutaš, (and) the land Ḫilakku; who brought about the defeat of Egypt at the city Raphia and counted Ḫanūnu (Hanno), the king of the city Gaza, as booty;	the valiant man who brought about the defeat of Ḫumbanigaš (Ḫumban-nikaš I), the Elamite; who destroyed the land Karalla, the land Šurda, the city Kišesim, the city Ḫarḫar, the land Media, (and) the land Ellipi, (and) imposed the yoke of the god Aššur upon (them); who laid waste to the land Urarṭu, plundered the city Muṣaṣir, slaughtered the lands Andia (and) Zikirtu, (and) pacified the land Mannea; who made the rulers of the land Hamath, the city Carchemish, and the land Kummuḫu tremble (and) plundered the land Kammanu; who deported Gunzinānu from the city Melid, his (Gunzinānu’s) royal city, and set officials over all of their lands; who did away with the kingship of Tarḫu-lara of the city Marqasa ... ;
If ... , I shall go to ... 	... whom the king ... 
The king knows that I am not provided for here; I have no house and no slave. And the 'son' of Dakkuru has destroyed my records which I had deposited with my mother and my brothers in Babylon. (Thus) I am doubly troubled.	The king knows that I am very ill indeed. If I were not ill, I would have come the king's audience. Now I have sent my brother Bel-usati and ten noblemen of Nippur to greet the king, my lord.
In the base of the middle surface of the 'finger' there is a 'weapon'-mark facing the base of the 'finger.' The 'weapon'-mark of the 'increment' rises toward the left. The upper part ... 	If there is a 'foot'-mark in the middle of the middle surface of the 'finger,' it is the foot-mark of an ecstatic of the enemy's country.
                                  Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 	Disregard that the oracle query has become jumbled in the mouth of the haruspex, your servant... 
... return the temple slave	... they removed again
... Nergal-abu-... 	1 ... -garment ... ,
Witness ... didi.	Witness ... 
NN (said): "Let me go to ... ;" but NN held him back, saying, "You will go ... with me."	NN said, "Let me go to ... ," but NN held him back, saying, "You will go ... with me."
If the moon is slow in its course: the harvest of the land will prosper.	If the moon is seen at an inappropriate time: dispersal of a city.
a flask of mēzu-wine; a flask of lā'u-wine.	A flask of mēzu-wine; a flask of lā'u-wine.
Concerning the watch about which the king, my lord, wrote to me, neither the moon nor the eclipse were seen. May they appoint a guardian of health and life for the king, my lord!	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
Balihû, son of Marduk, son of Babu-ereš; family of the house of Bel-eṭira; his paternal house faces the Gate of the Entry of the goddess Gula.	Ša-pî-Bel, son of Aplaya, son of Qiltî; family of the house of the Boatman; their house is on the other side, beside the well of the field.
... writing board of the temple of the god Sîn of the city Ḫarrān.	... from the city GN he came to the Inner City ... 
In  the  top  of the left surface of the 'finger' a 'foot'-mark ... to the area of the 'finger.'             	If there is a 'foot'-mark in the middle of the middle surface of the 'finger,' it is the foot-mark of an ecstatic of the enemy's country.
Disregard that he who touches the forehead of the sheep is dressed in his ordinary soiled garments, or has touched the (libation) beer, the maṣhatu flour, the water, the pot, or the fire... 	Disregard that a clean or an unclean person has touched the sacrificial sheep, or blocked the way of the sacrificial sheep... 
Witness Ša-la-mašê, mayor.	Witness Azi-il, scribe.
Now then one shepherd has come to me to Calah. He has acted as an informer.	The money is paid completely. That woman and child are purchased and acquired.
As to the work that you and the Assyrians, your brothers, have done, concerning which you wrote, it is good that you did so and kept watch for me.	As to the ... about which you wrote, it its good that you reminded me ... Just as ... 
Month ... , 11th day, eponym year of Adad-šarru-uṣur, governor of Marqasi.	Month ... , 23rd day, eponym year of Zazaya.
10 good ... s, ... s ... 	... and shall send ... 
These fields, buildings and people Tiglath-Pileser (III), king of Assyria, exempted (from taxes) and gave to NN.	These fields, orchards and people Adad-nerari (III), king of Assyria, exempted (from taxes) and gave to NN, his eunuch as a grant.
If the moon is surrounded by a halo, and Regulus stands in it: pregnant women will give birth to male children.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
Witness ... uni.	Witness ... 
I gathered the bought people who had become slaves (and) who had been distributed among the (foreign) riffraff and counted (them once again) as Babylonians. I returned their looted possessions, provided the naked with clothing, (and) let them take the road to Babylon. I encouraged them to (re)settle the city, build houses, plant orchards, (and) dig canals. 	... on whom a capital punishment was imposed ... I returned their looted possessions ... provisions to go out on campaign ... I encouraged them to seize the city and build houses, plant orchards ... I let them dwell in security ... with joyful heart (and) shining countenance ... 
Ever since the day when ... the word ... , I have been very afraid ... 	... the kings, my descendants, ... the people ... the great gods ... 
1 wooden stool of boxwood, of the residence;	1 bathroom ... -cloth, of the qirsu;
side ... 	Witness ... 
NN, his servant, Zakiru —	NN, his servant,
Neš-ili-mati, Neš-igigani, the Steps and the Lahmus of the Eastern Gate; Nusku, the Bull-Son-of-Šamaš and the Judges behind (the God);	Tambaya (and) Šamšiya; Enpi, Kalkal, Neš-ili-mati, Neš-igigani, the Steps and the Lahmus of the Eastern Gate; Nusku, the Bull-Son-of-Šamaš and the Judges behind (the God);
in cultivation ... 	Witness ... 
Witness Tariba-Issar, cook.	Witness Ubru-Issar, servant of ... 
Whoever in the future, and at any time, whether Nabû-malik and Šumma-ilu, or their sons, grandsons and brothers, or their prefect and the mayor of their city,	Whoever in the future, at any time, whether Daddî or his sons or brothers, or his ... or any relative of his, whoever lodges a  complaint and seeks  a lawsuit or litigation against Remanni-Adad,  his sons and grandsons,
The kallāpu messenger ... 	... and shall send ... 
May Aššur, Bel, Nabû and Šamaš bless the king, my lord! May they give life of distant days, old age and fullness of life to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
the troops of Assurbanipal, king of Assyria,	The word of Ištar of Arbela to Esarhaddon, king of Assyria:
x sheep, served hot;	24 Kushite horses total;
A messenger of Urzana, king of Muṣaṣir, and a messenger of Arizâ have come to me	Fingernail of Aššur-na'di, son of Mardanu, owner of the man being sold.
The poplar is his body.	The 'ear' is present ... 
Month Nisan (I), eponym year of Iddin-ahhe of Ṣimirra.	Month ... , 23rd day, eponym year of Zazaya.
An extispicy was made concerning Bel-labria: “... ” 	After he has made the round and ... 
The gods Bēl (and) Anu entrusted to you the distant mountains.	Bel and Anu have entrusted to you the distant ... s.
... is good for ... has returned here; as for you, stand by. Kunâ has ... all their troops. 	The ... s of ... and Uruk are not doing the work and not glazing the bricks ... 
On my fifth campaign: The population of the cities Tumurrum, Šarum, Ezāma, Kibšu, (iv 20) Ḫalbuda, Qūa, (and) Qana, whose dwellings are situated like the nests of eagles, the foremost of birds, on the peak of Mount Nipur, a rugged mountain, and who had not bowed down to the yoke — I had my camp pitched at the foot of Mount Nipur. 	At that time, the cities Tumurrum, Šarum, Ḫalbuda, Kibšu, Ezāma, Qūa, (and) Qana, which were on the border of the land Katmuḫu, which were situated like the nests of eagle(s) on the peaks of Mount Nipur, (and) which since time immemorial (20) were an obstinate force that did not known how to respect (any) authority during (the reigns of) the kings, my ancestors — during the reign of my lordship, their gods abandoned them and made them vulnerable.
... where ... stands ... the days of the ruler will be long... an eclipse ... passed.	If Orion comes close to the moon: the days of the reign of the king will become long ... 
... Partakanu;	... Arbela
Witness NN, weaver.	Witness ... 
... goldsmiths	... dust
By the mouth of the woman Ilussa-amur of the Inner City.	... from the city GN he came to the Inner City ... 
If the moon becomes visible in Adar (XII) on the 30th day: there will be an eclipse of the sun.	If Orion comes close to the moon: the days of the reign of the king will become long ... 
... happiness ... 	Witness ... 
... from the fort ... to the other side of the river ... there are no men with me. They have been delayed in the country.	If there is a 'foot'-mark in the middle of the middle surface of the 'finger,' it is the foot-mark of an ecstatic of the enemy's country.
and the rest ... 	Witness ... 
Just as this waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!	Just as (this) waterskin is split and its water runs out, so may your waterskin break in a place of severe thirst; die of thirst!
... with the favours	... we captured
x minas, of Se'-ma'adi;	4 minas ... ;
When there was an epidemic here, Ilu-bi'di a cohort commander of the ... under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you the money." Now this Ilu-bi'di has died; his wife, as the king knows,  has married a young boy and that person has been serving under me as a cook.	When there was an epidemic here, Ilu-bi'di a cohort commander under my jurisdiction killed a horse. I made up for the horse in his stead and he promised: "I'll give you money." (Now this) Ilu-bi'di has died; his wife, has married ... , a young boy, and that person has been serving under me as a cook.
As for their junior sons, they are apprentices, incapable of doing any (serious) work; it is not within their understanding. They just carry chests after them.	Now then the servants of Sin-ereš who saw it with their own eyes are standing by; let them testify and speak to the king.
... just as the king, my lord, wrote to me, he showed it to me, saying: "There is no gold here; they have diminished the  ... "	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
Bless Aššur-etelli-ilani, the giver of this (ceremonial) feeding, O Aššur! 	Witness Aššur-ila'i, cohort commander of the royal bodyguard.
Tamluti, NN, NN,	Kalu, Pulî, 
(As for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, the lapis lazuli mountain, (and) upon the soil of whose land none of the kings, my ancestors, had walked —  I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, (i' 10') who were not submissive to (my) yoke, together with their people, their riding horses, oxen, sheep and goats, (and) Bactrian camels, their heavy plunder. 	The one who crushed the Barnaki, a dangerous enemy, who live in the city Tīl-Ašurri, which is called Pitānu in the language of the people of the land Miḫrānu; (30) the one who scattered the Mannean people, undisciplined Gutians — (as for) the land Patušarri, a district in the area of the salt desert, which is in the midst of the land of the distant Medes, borders Mount Bikni, (and) upon the soil of whose land none of the kings, my ancestors, had walked, I carried off to Assyria Šidir-parna (and) E-parna, mighty chieftains, who were not submissive to (my) yoke, together with their people (and) their heavy plunder.
May they take bread away from your land in the same manner as gold.	Mercury and Venus are apart from each other, they passed and went on.
All the same, the horses have been heavily pressed; the foals should rest out.	From the very beginning I have been a dog who loves the house of his lord.
Bel-lamur, Adad-belu-uṣur, Inurta-le'i ... , NN	Bel-abu-uṣur, barber, son of ... ;
For the god Enlil, (... ) his lord: Ashurbanipal, king of the world, king of Assyria, (... ) king of the four quarters (of the world), had (this) (... ) built for the sake of his life.	I, Esarhaddon, great king, mighty king, king of the world, king of Assyria, built anew an annex onto the House of Succession in the midst of the city of Nineveh.
To the king, my lord: your servant, Nabu-kudurri-uṣur. Good health to the king, my lord. May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
... and tell it to the king.	... whom the king ... 
To the king, my lord: your servant Ikkaru. The very best of health to the king, my lord! May Nabû and Marduk bless the king, my lord! May Bel, Nabû and the Lady of Life give happiness and physical well-being to the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
It will increase by a fourth; he shall pay in Kislev (IX).	It will increase by 6 shekels per month.
in all 80 hectares of land in cultivation by the copper seah of 9 'litres.'	An estate of x hectares of field according to the seah of 10 'litres' ... 
the ... of the caravan brought.	of the campaign ... 
owner of the field being sold.	Seal of ... , owner of the ... being sold.
Witness Issar-tariba.	Witness ... 
The emissary from Que ... is departing and going ... the Bow River; the ... of the Commander-in-Chief is with him.	The king should ask the second emissary; he knows that he gave the order to the commander-in-chief.
I.e., on the 14th day the moon and the sun are seen together.	(On the) 14th day of month of Nisan (I) he led the oxen away.
... May the king, my lord ask NN and ... parri.	... whom the king ... 
While he is finishing his libations, the singer intones, “May he become pure.” He stops (libating) and opens the vat. The singer intones, “... ”	The right and left outer 'fingers' of the lung ... The breast-bone is thick. The coils of the colon are elevated and turned on the left. Their number is 16... 
x ... of silver ... belonging to Gallulu, at the disposal of Šepe-Issar, sailor.	Two minas of silver by the mina of Carchemish, belonging to Sin-remanni, at the disposal of Mannu-ki-Issaran, major-domo of the viziers.
(and whether) they, be it by force, or by ... , or by whatever means of conquering a city, will conquer that city, and annex it?	(whether) they will conquer that city Quhna, capture it, and enter it,
Witness Gilgameš-edašu-šakšid.	Witness Bel-zeru-iddina, ... 
... in accordance with ... 	... whom the king ... 
May he constantly exercise the rule over the people who are of privileged status (and have) šubarrû-privileges (granted) by the great gods. (ii 30) During his reign may those ones with šubarrû-privileges not become disordered. May he take away their negligence and erase their sin. Let turmoil be anathema to them (ii 35) (and) may he make their heart(s) rejoice. Like the foundations of Uruk and Eanna, may their foundations be firm.	May he exercise the rule over the people who are of privileged status (and) freed from taxation by the great gods! During his reign may those ones freed from taxation not be in disorder! May he decrease their negligence and may he remove their sin! Let turmoil be unknown to them (and) may he make their heart(s) rejoice! Like the foundations of Uruk and Eanna, may their foundations be firm!
An eclipse (of the moon) occurred on the 14th of Sivan (III),  during the morning watch.	(On the) 14th day of month of Nisan (I) he led the oxen away.
Witness Ea-lešir.	Witness ... 
Witness NN, (city) scribe of Arrapha.	Witness Azi-il, scribe.
Witness Nabutî, cohort commander of the weavers.	Witness NN, chariot driver.
As to the ungelded bulls of which the king, my lord, spoke, I am now choosing them.	The forts and the land of the king, my lord, are well.
which ... twice/into two.	... his ... in the town of ... 
1, treasurer;	... , farmer;
and he ... 	Witness ... 
The evening watch means Akkad; Sivan (III) means the Westland; the 14th day means Elam; ... the Westland.	If the moon is eclipsed in Sivan (III): later in the year, Adad will devastate the harvest of the land.
(Property) of Ninurta-nādin-šumi, king of the world, king of Babylon, king of Sumer (and) Akkad.	Seal of Ashurbanipal, king of the world, king of Assyria, son of Esarhaddon, king of Assyria, son of Sennacherib, (who was) also king of Assyria. 
Month Sivan (III), 1st day, eponym year of Nabû-da''inanni, governor of Que.	Month ... , 23rd day, eponym year of Zazaya.
... will see, hither ... 	... whom the king ... 
When Ashurnasirpal, king of Assyria, consecrated the joyful palace, the palace  full of wisdom, in Kalḫu (and)	Assurbanipal, king of Assyria, a king created by you, whose present condition is not good,
Also, there is a guard who has taken a wife from among the Ruṣapeans. He is a Damunean; thirty years ago he married a Zanakian woman. Now he has claimed her, and I have sent him to the king, my lord. The Zanakians take wives from among the Damuneans and the Gambuleans, (and) they are all making claims. The king, my lord, should not act wrongly in this.	In the evening she will come back in and take up her seat. May she bless the king, my lord. May she give to the king, my lord, long days everlasting years, happiness, and good health. The king, my lord, should  know (about this).
The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and he made my weapons greater than (those of) all who sit on (royal) daises. He gave me a just scepter that widens borders (10) (and) he put in my hand a merciless rod to fell enemies. He made rulers of the four quarters (of the world), from east to west, bow down at my feet and they (now) pull my yoke.	The god Aššur, father of the gods, looked steadfastly upon me among all of the rulers and he made my weapons greater than (those of) all who sit on (royal) daises. 
total, the prefect of ... 	of the campaign ... 
I appointed him as the ... 	4 minas ... ;
If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; the Westland will become smaller.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
I ordered archers, chariots, (and) horses of my royal contingent to confront (10') the king of the land Elam. They killed many of his troops, including his son, and he (the king of Elam) retreated. They marched to Uruk (and) carried off the god Šamaš of Larsa (and) the goddess the Lady of Uruk, the gods living inside it, together with their property (and) possessions, which are without number. 	My warriors reached the quay of the harbor (and) like locusts they swarmed out of the boats onto the shore against them and defeated them. They conquered the cities Nagītu, Nagītu-diʾbina, Ḫilmu, Pillatu, and Ḫupapanu, cities of the king of the land Elam. They carried off their garrisons, the population of Chaldea, the gods of all of the land Bīt-Yakīn, together with their property, and the people of (the) Elamite (king), wagons, horses, mules, (and) donkeys.
in the town ... ; Abdi-Kububi, his wife and two sons, a total of 4 persons belonging to Haruranu and Salilanu —	the woman Su... , his wife, his two sons, his daughter, a total of 5; NN, his wife, his two sons, a total of 4;
... is  present. The 'strength' is absent. The left of the gall bladder is attached... of the 'finger' is split. In the top ... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
I have not seen ... As to ... 	... s to ... 
he shall bear the liability for ... 	they should intercalate ... 
... among these men	... whom the king ... 
Four hectares of cultivated (and) 2 hectares of fallow (land), a total of 6 hectares of exempt land.	30 hectares of arable land, 15 hectares under cultivation therein.
Let them be taken out and put aside! 	May the king not regard it as my fault.
are these true and sincere words? If Assurbanipal, king of Assyria, appoints Sin-šarra-uṣur son of Nikkal-iddina over them, will he ... about the ... of Assurbanipal, king of Assyria,	that from this day on for as long as we live we will be subjects of Assurbanipal, king of Assyria, (that) Assurbanipal, king of Assyria shall be our king and lord, and (that) we will be totally devoted to Assurbanipal, king of Assyria, our lord.
... who go there	... we captured
Sennacherib, great king, strong king, king of the world, king of Assyria, the attentive prince (who is) your protégé, who by your firm ‘yes’ marched about and who made the insubmissive lands (and) disobedient people of the mountains bow down at his feet:	I, Esarhaddon, great king, mighty king, king of the world, king of Assyria, built anew an annex onto the House of Succession in the midst of the city of Nineveh.
(As for the one who erases my inscription ... ) puts it in another place ... : may ... the goddess Ištar, mistress of battle and conflict ... 	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
... well being sold.	... we captured
                 came                                           	Issar-šimanni                            
... the king of ... 	... whom the king ... 
The courtyard of the Ešuburanna ... 	of the campaign ... 
... Is it decreed and confirmed in a favorable case, by the command of your great divinity, Šamaš, great lord?	Be present in this ram, place (in it) a firm positive answer, favorable designs, favorable, propitious omens by the oracular command of your great divinity, and may I see (them).
in all, 74 people, deportees	In all eight double-doors.
Should Assurbanipal, king of Assyria, your creature, appoint the man whose name is  written in this oblong tablet and placed before your great divinity, to the office of the royal delegate in the temple of ... in the Inner City?	The man whose name is written in this tablet and placed before your great divinity ... 
At the time of Šamaš-bunaya ... a certain Ha'ir used to send ... (as) hostages. They were caught ... , and ... 	an estate of x hectares of land ... adjoining the field of ... , the side road to the village of ... and ... 
... which frighten ... 	... whom the king ... 
Arbayu, governor;	1, (governor of) Calah;
Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il of (the land Bīt)-Agusi (lit. “son of Agusi”) (against me)... Between the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I utterly defeated him and took his entire camp away from him. 	Sarduri of the land Urarṭu revolted against me and conspired with Matīʾ-il (against me). In the lands Kištan and Ḫalpi, districts of the city Kummuḫu, I defeated him and took his entire camp away from him. He became frightened of the terrifying radiance of my weapons and fled alone in order to save his life. 
The baker of the harem manageress came and told me: "A scepter, a chest,  an iron brazier and a copper kettle have been stolen from the Palace and  sold for money.	NN, the harem manageress of the central city harem, has contracted and bought it from Lu-te... for 5 minas and 10 shekels of silver.
CT 54 509 	CT 54 160 
... , the ... day, eponymy of ... , governor of ... 	Month ... , 23rd day, eponym year of Zazaya.
Witness Nabû-kašir, overseer of reeds.	Witness Ubru-Issar, servant of ... 
The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds it.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
... sent the beginning of the message ... :	... whom the king ... 
If the sun in ... 	Witness ... 
(and) ploughs, fitted-out.	(and) opposite the town of ... 
Witness ... -ilu.	Witness ... 
... the land of Akkad	... whom the king ... 
Whoever in the future, at any time, lodges a complaint, whether Upaq or his sons or his brothers or any relative of his or his prefect or his labour-duty superior, and seeks a lawsuit or litigation against Bel-Harran-beli-uṣur or his son	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
I captured alive Massirâ, the chief archer of Teumman, the king of the land Elam, who was stationed inside the city Ša-pī-Bēl to provide support to the land Gambulu (and) to guard Dunānu. I cut off his head (and) beat (it) against the face of Dunānu, the ally who could not save him. 	I hung the head of Teumman, the king of the land Elam, around the neck of Dunānu. With the spoils of the land Elam (and) the booty of the land Gambulu, which I captured by the command of (the god) Aššur, with singers performing music, I entered Nineveh in (the midst of) celebration.
Witness Zabdanu.	Witness ... 
“Inspector of queens”: the Tibira Gate.	“Stabilizer of the royal throne”: the Mountain Gate.
Ittî, chariot driver;	Witness NN, chariot driver.
he stole ... 	Witness ... 
... and I have kept the watch of the house of my lord. I had the people settled ... , and have sent them to the right and left (on various errands).	I knew no father or mother, I grew up in the lap of my goddesses. As a child the great gods guided me, going with me on the right and the left.
(Z)ariqu and Mar-Biti set out (in procession) on the fourth day,  saying: "Hail to the Babylonians and Borsippeans ... 	... the prince commissioned auxiliary troops (to protect) the exemption of Babylon and Borsippa ... 
Witness Sipparanu, tanner of colored leather.	Witness NN, chariot driver.
Whoever in the future, at any time, whether Aššur-naṣir or his sons or brothers or his governor, seeks a lawsuit or litigation against Šamaš-abu-uṣur, his sons and grandsons, shall place x minas of refined silver and one mina of pure gold	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
There is a cross-shaped marking in the middle surface of the 'finger.' The top of the ... surface of the 'finger' ... 	The breast-bone is thick. The coils of the colon are 16 in number. The heart of the ram is normal. Check-up... 
Urzana is staying in Alamu on the 10th ; on the 11th he will be in Hiptuna, on the 12th in Muši, on the 13th in Issete, on the 14th in Arbela.	If the sun stands in the halo of the moon: there will be truth in the land, and the son will speak the truth with his father; universal peace.
17 10 ... ,	4 minas ... ;
... I have written to the king, my lord ... 	... whom the king ... 
For (any cohort commander) who has a bread ration entered on his tablet and who has men, I take from the corn tax and provide it to him in his garrison.	A scout commander of the Urarṭian entered the town ... with 50 mules. They took the mules from him, put iron shackles to his arms and feet and returned him to the Urarṭian.
... there is not ... 	... whom the king ... 
The king said to the ... 	... whom the king ... 
To the king of the lands, my lord: your servant, the šandabakku. May Enlil, Ninurta, and Nusku bless the king of the lands, my lord! May Aššur, Enlil, Šamaš, and Marduk grant the king of the universe, my lord, a life of long days, happiness, good health, and an enduring reign and may they ordain a sound foundation of the royal throne of the king, my lord, for far-off days.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
May ... the gods of Assyria and the land of Akkad greatly delight your heart!	The forts and the land of the king, my lord, are well.
I am a servant who reveres the kings, my lords. I must not become estranged from the kings, my lords.	To the king, my lord: your servant NN. Good health to the king, my lord!
total — Ninurta.	total — the god ... 
and seeks a lawsuit or litigation against Inurta-ahu-iddina,	Whoever ... , whether Nabû-... , ... , seeks a lawsuit or litigation against ... , his sons, ... ,
x, 2, the commanders-of-50, the 'third men' ... ;	... ditto, ditto, the front red, of the port; 4 ... ;
... his prosperity 	... s to ... 
On the 21st and 22nd I delivered that of the Chief of Granaries in ... ; on the 23rd I delivered that of the governor of Kilizi in ... 	I have received the horses from the chief of trade whom the king, my  lord, sent to me, and have delivered them. All the king's servants  are well.
1 wooden wine-jar stool, used;	2 containers of copper, speckled;
Concerning the tablet which the ... s sent me ... 	... on the horizon the moon and sun ... 
In all, three families of the house of Nur-Sin, beside the king's silos.	I am here; I came to greet the king, my lord.
Witness ... -ereš.	Witness ... 
Witness NN, deputy priest.	Witness Azi-il, scribe.
This is a strong king ... ! Mullissu and the Lady of Arbela ... ; he has no enemy who can rebel against his treaty and escape unpunished!	May Mullissu and the Lady of Arbela keep Assurbanipal, the creation of their hands, alive for ever!
... upon the city gate	... we captured
May a later prince restore its weakened (portions). May he restore my inscribed name to its place. (Then) Aššur (and) the goddess Ištar, the great gods who love my sovereignty, will make his dominion supreme in all lands. May they constantly lead him in victory, might, and heroism. May they grant the tribute of the four quarters as his portion. May they establish for his land plenty, affluence, (and) abundance.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
... the governor of Si'imme;	... they removed again
Concerning the people and the goods of Nabû-ahhe-iddina about which the king, my lord, gave me orders, ... in accordance with the writing-board	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
... s I handed over to Ištar residing in Arbela, my lady.	... wanû comes to the king in the Palace
After he has pronounced the blessing, he turns and pronounces the (following) blessing at the opening of the censer (placed) before Šamaš:	The head of the female singers announces the good news: “Šerua has given birth!” She said so thrice, (and) entered the house of Anu.
